244486
/m/01kdyy
/m/01kdyy
Frank McCourt
1996-09-05
1 1
130 1
130s 1
131 1
132 1
135 1
140s 1
a 26
able 2
about 2
above 1
after 5
age 3
alcoholic 1
alcoholism 1
all 3
along 1
alphie 1
also 2
always 1
america 2
an 1
and 33
anew 1
angela 9
any 2
are 1
arrival 1
arriving 1
as 10
ask 1
at 7
attempts 1
august 1
away 2
back 3
badly 1
be 3
because 2
becomes 1
before 2
begin 1
birth 2
bnbsp136 1
bnbsp140 1
born 4
both 1
boy 4
boys 2
bread 2
bright 1
brooklyn 1
brothers 4
burn 1
but 3
california 1
capacity 1
catholic 1
charm 1
child 3
children 3
christian 1
chronic 1
church 1
circumstances 1
city 1
clearly 1
climate 1
clothes 1
coal 2
coat 1
cold 1
collection 1
combination 1
conjunctivitis 1
continue 1
could 2
cousins 1
coventry 1
damp 1
day 1
de 1
death 1
debtors 1
defense 1
delivered 1
delivers 1
delivery 1
described 1
despite 1
developed 2
did 1
died 3
dies 1
dilapidated 1
disapproved 1
distant 1
do 1
does 3
dole 1
done 1
door 1
down 1
dream 1
due 1
during 1
each 1
earning 1
earnings 1
eason 1
eight 1
eldest 1
elementary 1
emigrates 1
end 1
ended 1
ends 1
england 1
enough 2
entire 1
eugene 3
eventually 4
evicted 1
face 1
failure 1
family 9
farthest 1
father 5
feed 2
felt 1
fever 1
few 1
finally 2
first 2
flooded 1
following 1
food 1
for 18
forced 4
found 2
four 1
fourteen 1
francis 2
frank 20
franks 1
from 5
fuel 1
get 4
give 1
gives 1
got 1
grittiness 1
had 3
hands 1
hardships 1
has 1
hatchet 1
have 1
having 1
he 21
heat 1
help 3
helping 1
her 6
hijacking 1
him 4
his 21
hold 1
home 1
hospitalized 1
house 2
houses 1
however 1
humor 1
husband 1
in 21
infancy 1
inquire 1
intellectual 1
into 1
ireland 5
irish 1
is 4
issues 1
it 2
its 1
job 5
jobs 1
kids 1
know 1
lane 3
lanes 1
last 1
later 2
led 1
ledger 1
leftover 1
leg 1
letters 1
librarian 1
life 5
like 1
limerick 3
little 1
live 1
lived 3
local 2
long 1
lumps 1
macnamara 1
magazines 1
malachy 7
man 1
manner 1
many 1
margaret 3
marriage 1
married 1
marries 1
mccourt 5
mccourts 1
meal 1
means 1
meets 1
michael 1
money 4
moneylender 2
month 1
more 1
most 2
mother 5
move 2
moved 1
mr 1
narration 1
near 1
needs 1
neighbor 2
new 4
newspapers 1
next 1
nineteen 1
no 1
not 5
occasionally 1
odd 1
of 25
office 2
often 1
ohalloran 1
old 1
oliver 3
on 5
once 1
one 1
only 3
opportunity 1
or 3
other 1
parents 1
part 1
passages 1
patched 1
path 1
paul 1
pay 1
paying 1
payment 1
peat 1
pick 1
plant 1
possible 1
post 2
poughkeepsie 1
pregnant 1
problems 1
progressing 1
prompts 1
pub 1
pubs 1
purse 1
pursue 1
ragged 1
ready 1
real 1
realize 1
refused 1
regularly 1
relationship 1
relative 1
rented 1
rest 1
restaurants 1
result 1
returned 1
returning 1
ride 1
rise 1
river 1
run 1
saint 1
saving 1
scavenged 1
school 3
schooling 2
scrimping 1
seldom 1
sent 1
sentence 1
serving 1
set 1
sexual 1
sherry 1
shoes 2
shows 1
siblings 1
simply 1
since 1
sister 2
sisters 1
situation 1
slam 1
so 2
society 1
some 1
sometimes 1
son 1
songs 1
specifically 1
spend 1
spends 1
spent 2
start 1
started 1
starts 1
starving 1
states 1
stealing 1
stole 2
stop 1
stories 1
story 2
struggling 1
subsisted 1
succeed 1
support 1
survive 1
taught 1
tea 1
teach 1
teacher 1
teenager 1
telegram 2
than 1
that 2
the 57
their 3
them 1
there 3
therefore 1
they 7
things 1
think 1
thirteen 1
this 3
though 1
threatening 1
three 1
threw 1
through 1
to 42
toilet 1
told 2
took 2
tragedy 1
travel 1
treated 1
truck 1
turf 1
turned 1
twin 1
twins 2
typhoid 1
unable 1
unfortunately 1
united 1
unpaved 1
up 1
very 2
vincent 1
walls 1
was 11
weeks 1
welfare 1
went 2
were 4
what 1
when 4
where 2
whether 1
who 5
widow 1
will 1
wit 1
with 7
within 1
without 1
women 1
wondering 1
wood 1
work 1
working 1
works 2
world 1
would 4
writing 1
wry 2
year 1
years 2
yet 1
york 3
younger 2
youngest 1
