472089
/m/02dm18
/m/02dm18
Roald Dahl
1988
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/09kqc": "Humour", "/m/02xlf": "Fiction"}
a 13
abilities 1
about 1
abusive 2
accessing 1
actually 1
after 3
against 1
aggravated 1
agree 1
also 1
and 11
are 1
arrives 1
as 4
asks 1
astonished 1
at 4
aunt 3
automotive 1
because 1
been 1
begins 1
behavior 1
believe 1
belong 1
blackboard 1
bond 1
but 4
by 8
capable 1
chalk 1
childhood 1
chimney 1
class 1
classmate 1
constantly 1
containing 1
continues 1
converse 1
cottage 2
daughter 2
day 1
deceptive 1
demanding 1
develops 2
devises 1
dimwitted 1
discipline 1
disciplines 1
discover 3
discovered 1
discovers 1
dont 1
during 1
earn 1
encounters 1
eventually 1
experiences 1
family 2
father 5
flees 1
foolish 1
for 1
forced 1
forest 1
frequently 1
from 3
gather 1
ghost 1
gift 1
gifted 1
girl 1
glass 1
go 1
grade 1
grades 1
guardianship 1
had 2
hastily 1
hat 1
have 1
headmaster 1
headmistress 2
help 1
her 27
hiding 1
higher 1
his 1
home 4
honey 9
hostile 1
house 2
idiotic 1
in 6
industry 1
inheritance 1
intellectual 1
intelligence 1
into 4
is 8
it 2
jennifer 1
jenny 1
joke 1
knowledge 1
later 1
leads 1
learn 1
lesson 1
level 1
live 2
longer 1
loving 2
magnus 2
maliciously 1
mandatorily 1
matilda 13
meet 1
mind 1
misdeeds 1
miss 15
more 2
mother 1
move 1
moves 1
mr 1
mrs 1
must 1
mysterious 1
name 1
named 2
needs 1
new 1
niece 1
no 1
oblivious 1
of 9
on 4
one 1
or 1
order 1
over 2
packing 1
parents 3
parrot 1
particularly 1
passing 1
permission 1
petrified 1
physical 1
police 1
poses 1
pouring 1
powers 2
practical 1
practice 1
practices 1
pranks 1
precocity 1
probably 1
prodigous 1
proper 1
provide 1
providing 1
pulls 1
punishment 1
pupils 1
question 1
quickly 1
raises 1
recounts 1
refuses 1
regularly 1
repositioned 1
rightfully 1
rude 1
run 1
salamander 1
scheme 1
school 2
schooling 2
schoolteacher 1
secret 1
seemingly 1
several 1
she 4
sixth 1
skills 1
skipping 1
spirit 1
stick 1
stripped 1
strong 1
stunned 1
such 1
superglue 1
supreme 1
sweet 1
talk 1
teacher 1
teaching 1
telekinesis 1
telekinetic 2
telekinetically 1
that 7
the 19
their 2
theorizes 1
there 1
they 2
thinking 1
this 1
through 1
thus 1
time 1
tiny 1
tip 1
to 17
traumatic 1
tricking 1
tries 1
truchbull 1
trunchbull 5
unbelievable 1
under 1
use 1
using 1
view 1
wages 1
wants 1
was 2
water 1
wealthy 1
where 2
which 3
who 3
whose 1
will 1
with 8
wormwood 2
wreaked 1
young 1
