28968882
/m/0dgsmzf
/m/0dgsmzf


{"/m/026ny": "Dystopia"}
7 1
a 14
abandoned 1
able 1
above 2
absence 1
accepted 1
accident 1
acted 1
address 1
advice 1
after 3
agree 1
aim 1
alike 1
all 1
along 1
also 4
amidst 1
among 1
amongst 1
an 4
and 25
announcements 1
announcing 1
another 1
any 1
anyone 1
appearance 1
appreciate 1
approaches 1
are 4
arrived 1
article 1
articles 1
as 7
ask 1
astonishment 1
at 6
awake 1
bare 1
based 1
be 6
bears 2
been 3
before 1
begins 1
begs 1
being 1
beta 1
betafication 1
betafied 1
between 1
birthmark 2
birthmarks 1
bitterness 1
blend 1
breaks 1
britain 1
broadcast 1
but 2
by 4
can 2
cathedral 1
cause 1
causing 1
caverns 2
centre 1
challenge 1
change 1
chaos 1
chest 2
claims 1
clearly 2
clothes 1
collapse 1
collective 1
community 1
country 1
criticised 1
deal 1
death 1
decides 2
deliberately 1
delight 1
demand 1
denounce 1
departure 1
descends 1
desire 1
desires 1
destroyed 1
devastating 1
dictator 12
dictatorship 1
dictatorships 2
discontent 1
disorder 1
divisive 1
doctor 1
door 1
during 2
earth 1
ely 1
ends 1
enforced 1
ensues 1
ensure 1
envy 2
equalisation 1
errors 1
escape 1
events 1
eventsher 1
everyone 1
excursion 2
executed 1
exhausted 1
face 1
faces 1
facial 1
facially 1
fact 1
falls 1
famous 1
few 1
finally 1
find 2
finds 1
fine 1
first 1
fitted 1
food 2
for 6
forbidden 1
forced 1
forms 2
friend 1
from 6
further 2
government 1
grammatical 1
great 1
ground 2
group 1
guilt 3
had 1
harsh 1
has 4
have 5
having 1
he 3
heartshaped 1
heavy 1
height 1
help 1
her 17
herself 1
higher 1
him 2
his 5
history 1
home 1
hope 1
hospital 1
hospitalised 1
hours 1
however 1
hunger 1
idea 2
in 14
infringements 1
injury 1
inspector 1
inspectors 1
inspires 1
instance 1
instructing 1
intends 1
into 3
involuntary 1
is 10
it 1
jael 7
justice 1
kill 1
kind 1
knock 1
lady 3
large 1
last 1
laws 1
lead 1
leader 1
leaders 1
leadership 1
leaving 1
lets 1
live 1
longer 1
love 1
magazines 1
manages 1
means 1
michael 3
ministries 1
ministry 1
minor 1
morals 1
motorcoach 1
murderers 1
named 2
never 1
new 2
night 1
no 2
not 2
novel 1
nuclear 2
obliged 1
of 21
off 1
offer 2
offers 1
officials 1
old 1
on 9
one 1
opens 1
or 2
order 1
other 1
out 3
outside 1
over 1
papers 1
people 6
person 1
planned 1
populace 1
possible 1
power 1
presumably 1
privileged 1
production 1
proportionssuggesting 1
protection 1
prove 1
proves 1
provoke 1
public 5
punishment 1
put 1
rain 1
rainstorm 1
realise 1
rebellious 1
regime 1
regularly 1
remaining 1
remains 1
report 1
reported 1
rescue 1
resistance 1
responds 1
restore 1
resultant 1
return 2
reveal 1
reveals 1
ridiculous 2
rioting 2
role 2
ruined 1
rule 1
ruled 1
rules 1
sackcloth 1
savour 1
scene 1
section 1
see 1
seemingly 1
seen 1
sense 2
sent 2
she 15
should 2
show 1
six 1
so 3
soaked 1
society 5
some 1
sounds 1
spelling 1
spirit 1
starting 1
street 1
streets 1
stretches 1
subjects 2
subsequent 1
supplies 2
surviving 1
synthetic 1
take 1
takenprovokes 1
that 11
the 57
their 2
them 3
then 1
there 1
therefore 1
they 2
this 4
through 1
time 1
to 36
tower 1
treated 1
turn 1
underground 4
undermine 1
unseen 1
up 1
urging 2
verge 1
voice 3
volunteer 1
war 2
was 1
weak 1
wear 1
when 1
which 3
who 6
whom 1
whose 1
will 3
with 6
woman 1
women 1
writes 2
writing 1
young 1
