5500432
/m/0dpnbr
/m/0dpnbr
Peter O'Donnell
1981
{"/m/06wkf": "Spy fiction"}
a 4
achieved 1
africa 1
all 1
also 1
an 2
and 16
are 2
armed 1
as 1
assassin 1
at 1
atlas 1
be 2
beautiful 1
behind 1
being 1
bernard 4
blaise 1
both 1
but 1
by 1
called 1
captive 1
captivity 1
captured 1
charges 1
clandestine 1
coliseumstyle 1
criminal 1
death 1
disbanded 1
do 1
dominic 1
doublecrossed 1
down 1
driving 1
el 6
escape 1
fights 1
figures 1
filling 1
find 2
first 1
flee 1
for 1
force 2
free 1
from 2
full 1
garvin 1
girl 1
greatest 2
happens 1
harem 2
has 4
have 2
held 1
helicopter 1
her 1
hidden 1
high 1
him 1
hot 1
house 1
immense 1
imprisoned 1
in 7
is 3
isolated 1
it 1
its 2
jeep 1
jeremy 2
just 1
kill 1
killing 1
left 1
lieutenants 1
made 1
martel 5
mastermind 1
may 1
men 1
mico 6
middleaged 1
modesty 7
most 1
mountain 1
mountains 1
nanny 1
network 1
nevertheless 1
north 1
not 1
now 1
object 4
of 5
one 1
out 1
palace 1
parallel 1
pendergast 1
potent 1
present 2
pursuit 1
quests 1
rescue 2
retrieve 1
road 1
scottish 1
setback 1
several 1
she 2
signals 1
silk 2
slow 1
start 1
steal 1
stolen 1
succeeds 1
suffered 1
survive 1
tangier 1
the 16
theft 1
their 1
them 1
themselves 1
then 1
they 1
this 1
to 8
top 1
tracy 3
tries 1
triumph 1
twisting 1
two 2
typical 1
underworld 1
value 1
void 1
when 3
where 1
who 2
wife 1
willie 4
with 1
woman 1
xanadu 2
young 2
