31448445
/m/0gk_rh8
/m/0gk_rh8
Damon Knight
1965
2002 1
a 12
acquires 1
act 1
aggressively 1
alien 1
also 1
an 2
and 12
animal 1
another 2
are 2
as 1
at 2
aware 1
be 1
because 1
becomes 1
being 1
berlin 1
biped 5
bites 1
bodies 1
body 3
brecht 1
but 1
by 2
cage 1
captors 1
characters 1
colleagues 1
come 1
comes 1
commits 1
confusing 1
consequence 1
contact 1
containing 1
continue 1
convince 1
cope 1
courtesy 1
day 1
deals 1
degradation 1
disdain 1
display 1
do 1
egglike 1
end 1
eventually 1
experiment 1
explorers 1
fails 1
feelings 1
female 3
follows 1
for 1
forced 1
forehead 1
fritz 6
from 2
glands 1
has 1
he 5
him 1
his 4
human 2
identity 1
imprisoned 1
in 7
inguinal 1
intelligent 1
interchanged 1
into 1
is 11
it 1
keepers 1
kept 1
knob 1
learn 1
life 2
living 1
location 1
lover 1
made 1
male 5
manages 1
martin 7
mix 1
naumchik 1
new 3
nothing 1
novel 2
of 8
off 1
one 1
only 1
organ 1
out 1
overcome 1
passion 1
personality 1
place 1
planet 2
presumably 1
presumed 1
primate 1
provided 1
quickly 1
reader 1
remainder 1
reproduce 1
reproduction 1
required 1
resembling 1
semen 1
sexual 1
shares 1
smaller 1
society 1
specimen 1
story 1
switch 1
takes 1
tapes 1
terms 1
that 4
the 24
their 2
theme 1
they 1
this 1
threatening 1
time 1
to 9
transcribing 1
travel 1
treat 1
tries 1
turns 1
two 2
unintended 1
visiting 1
when 2
while 1
whom 1
with 10
work 1
wryly 1
year 1
zoo 3
