25812499
/m/09v6xtb
/m/09v6xtb
Jennifer Weiner

a 27
able 1
abortion 1
about 1
acting 1
after 4
again 2
against 1
agrees 1
airport 1
all 2
allowed 2
alone 1
although 1
an 2
and 35
answers 1
apartment 1
approaches 1
are 1
argument 1
article 1
as 10
assumes 1
at 4
attending 2
attends 1
aware 1
away 2
baby 1
back 2
bags 1
bathroom 1
be 6
because 1
become 1
becomes 2
becoming 1
been 1
belly 1
best 1
better 2
between 2
bit 2
born 1
boyfriend 1
breaks 1
breakup 1
briefly 1
brought 1
bruce 16
but 11
by 4
c 2
california 1
candace 1
cannie 25
cares 1
caring 1
causes 1
causing 1
celebrity 2
change 1
child 2
children 1
choice 1
city 2
close 2
column 1
condolences 1
confused 1
considers 2
cooks 1
crush 1
crushed 1
dating 1
daughter 1
day 4
debates 1
decides 7
deep 1
depression 1
died 1
discuss 1
doctor 1
dont 1
dr 4
dream 1
during 1
each 1
eating 1
else 1
end 1
entertainment 1
even 4
everyday 1
exactly 1
exboyfriend 1
exclusive 1
falls 2
family 1
father 3
few 4
finds 1
first 1
fix 1
flight 1
fly 1
followed 1
for 6
forced 1
forget 1
friend 1
friends 5
from 2
funeral 2
get 4
getting 2
girlfriend 3
give 2
go 3
goes 1
going 1
good 2
gotten 1
group 1
had 2
hands 1
happier 1
has 2
have 1
having 1
he 4
help 1
her 46
herself 3
him 2
his 5
hitting 1
hollywood 5
home 3
hoping 1
hospital 3
house 1
how 2
however 2
humiliated 1
hurt 1
idea 1
if 1
immediately 1
in 13
incident 1
including 2
interview 1
into 5
introduce 1
is 15
issues 1
it 2
job 2
journalist 1
joy 2
k 4
keep 1
knowing 1
knows 1
la 1
larger 2
last 1
later 2
learns 1
left 2
lets 1
letter 1
life 5
like 1
little 4
living 2
long 2
longer 1
lose 1
loses 1
lost 1
loving 2
magazine 2
make 2
makes 1
maxi 5
may 1
maybe 1
meal 1
meets 1
mental 1
months 1
more 3
mother 6
move 2
moves 1
movie 1
moving 1
much 1
must 1
naming 1
never 2
new 3
news 2
nifkin 1
no 1
not 3
note 1
now 1
of 9
off 1
offered 1
office 1
okay 2
on 5
one 3
only 1
opinions 1
or 1
other 1
outraged 1
over 1
overbearing 1
packs 1
part 1
participate 2
parties 1
peace 1
peter 6
philadelphia 2
place 1
planned 1
pleasurable 1
pregnant 4
prematurely 1
produce 1
producer 1
producers 1
program 5
pushes 1
rat 1
read 1
reads 1
realizes 2
recent 1
relationship 1
responds 1
returns 1
rider 1
role 1
rude 1
samantha 1
sarcastic 1
say 1
says 1
screenplay 3
see 1
seeing 1
seems 1
sex 1
shapiro 1
she 30
should 3
shower 1
side 1
simply 1
single 1
sink 1
slips 1
slowly 1
small 1
smart 1
some 3
someone 1
soon 1
spots 1
start 2
starts 3
state 1
stayed 1
staying 1
struggle 1
successful 1
supportive 1
takes 1
taking 1
talk 1
talking 1
talks 1
tell 2
telling 2
tells 4
temper 1
terms 1
terrier 1
that 3
the 30
them 2
they 3
things 4
thinks 1
this 1
three 1
through 3
to 30
together 1
try 1
trying 1
ultimately 1
until 2
up 3
very 1
wakes 1
walk 1
walking 1
walks 2
want 1
wants 2
warm 1
was 2
water 1
weeks 3
weight 2
weightloss 2
when 6
whether 1
while 1
who 1
whom 2
will 2
with 11
woman 3
worked 1
worse 1
would 1
writes 1
writing 1
written 1
wrote 1
years 1
york 1
