3603693
/m/09pb26
/m/09pb26
Nancy Holder
1998-08
a 4
alive 1
also 1
an 2
ancient 1
and 3
arrives 1
at 1
battle 1
becomes 2
been 1
buffy 2
by 3
chinese 1
chirayoju 2
curse 1
during 1
exhibit 1
fight 1
fighting 1
figure 1
final 1
for 1
friends 1
have 1
her 2
imprisoned 1
in 2
japanese 2
keep 1
killing 1
king 1
later 1
mountain 1
museum 1
must 2
of 2
on 1
out 1
own 2
possessed 2
sanno 2
spirit 3
spirits 2
stop 1
sunnydale 1
sword 2
takes 1
the 8
their 1
to 1
turn 1
two 1
ugly 1
vampire 1
viewing 1
way 1
were 1
when 1
while 1
willow 1
without 1
xander 1
years 1
