6883700
/m/0gv58g
/m/0gv58g
Meg Cabot
2004
{"/m/03mfnf": "Young adult literature"}
a 11
abby 1
ability 1
about 3
advice 1
affections 1
after 1
again 2
agrees 1
all 1
along 1
also 2
and 12
annie 2
annual 1
another 1
antispring 1
appalled 1
are 1
around 3
as 2
ask 1
assigns 1
at 3
because 2
becomes 1
best 2
book 1
but 1
cant 1
catrina 3
change 1
changes 1
clayton 2
columnist 1
come 1
coming 1
consoling 1
days 1
dear 1
decides 1
despite 1
discussion 1
due 1
during 2
effector 1
encourages 1
everyone 1
ex 1
expected 1
feelings 4
fellow 1
finally 2
fling 3
for 8
found 1
friend 4
from 2
furious 1
geri 2
go 2
going 1
got 1
greenley 2
grown 1
happen 1
has 4
having 2
he 7
head 1
heartthrob 1
heated 1
help 2
her 7
herself 1
hierarchy 1
high 5
him 4
his 5
however 1
identity 1
importantly 1
in 3
indiana 1
is 10
it 1
jen 16
jenny 2
job 1
junior 1
just 1
keep 2
kiss 1
know 1
knows 1
letting 1
lifestyles 1
little 1
lives 2
loved 1
luke 6
lynn 2
making 2
meanwhile 1
morphing 1
most 1
movie 1
much 1
nervously 1
newspaper 1
nice 1
not 2
nothing 1
of 5
on 1
one 1
only 1
other 2
others 1
out 2
over 1
party 1
people 3
platonic 1
principal 1
problems 1
promised 1
rather 1
real 1
realize 1
realizes 1
reason 1
research 1
responsibility 1
reveal 1
reveals 2
role 1
rumors 1
school 7
scott 5
secret 1
secretly 2
secrets 1
senior 1
serious 1
several 1
share 1
she 6
should 1
show 1
showing 1
similar 1
simple 1
so 1
social 1
somehow 1
soon 1
sooner 1
speak 2
spring 2
stand 2
start 1
starts 2
still 1
striker 1
students 2
surprise 1
take 1
taking 1
teen 1
teens 1
television 1
tell 1
than 1
thankyou 1
that 7
the 9
their 3
them 1
themselves 1
this 2
thought 1
time 1
to 15
told 1
town 1
true 4
up 3
using 1
vicious 1
voice 1
walk 1
well 1
when 1
where 1
which 1
who 2
will 1
with 6
