5940868
/m/0ffnd2
/m/0ffnd2
Edward Ormondroyd
1957
500th 1
a 17
about 1
absorb 1
actually 1
adventure 2
after 1
alluring 1
an 1
and 14
anything 1
appeals 1
appointment 1
are 2
arrogant 1
as 4
at 2
attempts 1
attentions 1
avoid 2
away 1
base 1
be 1
beautiful 1
been 1
before 2
begin 1
begins 1
beings 1
bird 2
birthday 1
blue 1
bow 1
boy 1
brash 1
brief 1
bringing 1
build 1
buried 1
but 4
buy 1
buying 1
by 4
cantankerous 1
captivity 1
capture 1
captured 1
cave 1
celebrates 1
changes 1
chased 1
cinnamon 1
climb 1
coach 1
coins 1
collected 1
combined 1
comical 1
complies 1
comprehend 1
could 1
course 1
creatures 1
curriculum 1
dance 1
david 17
day 1
death 1
decides 2
dimly 1
does 1
each 1
educate 1
encounters 1
equipment 1
escaping 1
evasiveness 1
even 1
exhausted 1
faun 1
feather 1
finding 1
first 4
firstly 1
flabby 1
flattered 1
flies 1
flying 1
foil 1
follows 1
for 5
forest 1
friend 2
friendliest 1
friendly 1
friends 2
frighten 1
frightened 1
from 4
get 1
goads 1
gold 1
golden 1
gruff 1
gryffen 1
gryffens 1
gryffin 1
gryffins 2
gryffon 1
gryffons 2
had 2
hag 1
has 2
hatchling 1
have 1
he 6
help 1
hiding 1
him 2
himself 1
his 9
home 1
house 2
however 2
hue 1
humans 1
implementing 1
in 5
ingenuity 1
into 3
involves 1
is 1
items 3
its 1
joining 1
journey 2
keeps 1
knowledge 1
later 2
lazy 1
least 1
leaving 1
legendary 1
leprechaun 1
like 1
logs 1
long 1
made 1
magic 2
magical 3
makes 2
meet 2
meets 2
moment 1
monster 1
mountain 1
mountains 1
moving 1
must 1
necessary 1
necessities 1
never 2
new 2
next 1
night 1
not 2
novel 1
of 7
old 2
on 4
other 1
out 1
parents 1
people 1
peril 1
phoenix 18
plans 1
plays 1
plot 1
potionselling 1
prankster 1
pyre 1
quite 1
race 2
races 2
rare 1
rather 2
reaching 1
reborn 1
recognizes 1
remaining 1
rescues 1
returns 1
reveals 1
round 1
sabotage 1
said 1
scientist 6
scientists 1
sea 1
seeing 1
seems 1
seen 1
sentence 1
settle 1
several 1
shine 1
should 1
shows 2
similar 1
some 2
soon 1
spending 1
summit 1
suspicious 1
takes 1
talk 1
tearfully 1
than 1
that 2
the 48
their 2
they 3
this 2
those 1
though 1
three 1
through 1
thus 1
to 17
token 1
too 1
town 1
townat 1
tradition 1
trails 1
treasure 1
two 1
unceremoniously 1
unfortunately 1
unpleasant 1
up 3
upon 1
using 1
various 2
villain 1
violent 1
visiting 2
warns 1
watches 1
weeks 1
which 2
while 1
who 5
wings 1
wins 1
wishes 1
witch 2
with 7
world 3
worldto 1
years 1
yet 1
young 1
