19035826
/m/04jns5_
/m/04jns5_
Colin Dexter
1976-04
a 10
abortion 1
accident 1
acum 1
acums 1
after 1
ainley 1
also 1
an 2
and 7
another 1
apparently 1
arrives 1
at 3
bacon 1
bag 1
baines 1
be 5
been 2
bus 1
but 2
by 1
carrying 1
case 1
characters 1
cherry 1
chief 1
coat 1
coloured 1
comprehensive 1
conversation 1
convinced 1
david 1
day 1
dead 1
disappeared 1
discovers 2
distinctive 1
does 1
donald 1
drive 1
find 1
following 1
for 3
found 1
french 1
from 3
gets 1
girl 2
goes 2
had 3
happened 1
he 1
headmaster 1
her 1
him 2
his 2
home 1
house 1
housemrs 1
in 4
inspector 2
interview 1
into 1
is 3
killed 1
known 2
last 2
later 4
lesson 1
letter 1
living 1
lollipop 1
lunch 1
man 2
missing 1
morse 4
mum 1
murdered 1
must 1
mysterious 1
near 2
north 1
not 1
of 1
off 1
on 1
out 2
oxford 3
phillipson 2
picks 1
plot 1
pregnant 1
reginald 1
rejects 1
road 1
roger 1
school 5
seduces 1
seen 2
sent 1
she 7
station 1
stop 1
suspects 2
suspicious 1
taught 1
taylor 1
taylors 1
teacher 2
that 1
the 7
thickens 1
this 1
three 1
to 5
tries 1
turns 1
two 1
up 1
valerie 4
valeries 1
wales 1
was 3
wearing 1
went 1
what 1
when 2
which 1
who 1
wife 1
with 1
year 1
years 1
