28604443
/m/0cz7_vv
/m/0cz7_vv
Mary Stewart
1958
{"/m/02n4kr": "Mystery", "/m/01qxvh": "Romance novel"}
a 6
able 1
about 1
accident 1
age 1
also 1
and 14
any 1
arranged 1
arrives 1
as 4
at 2
attractive 1
aunt 1
be 1
beat 1
beauty 1
becomes 1
behalf 1
bit 1
both 1
boy 1
but 2
by 2
charge 1
charismatic 1
charming 1
chteau 1
clock 1
closer 1
cold 1
comes 1
count 1
countryside 1
danger 1
darkness 1
day 1
de 3
deeper 1
doom 1
draws 1
enchanted 1
english 1
estate 1
ever 1
family 1
finger 1
for 2
force 1
french 1
governess 3
gray 1
guessed 1
handsome 1
having 1
he 1
her 4
heritage 1
his 5
history 1
how 1
immediately 1
imposing 1
in 5
inhabitants 1
innocent 1
is 5
it 1
its 2
land 1
lands 1
layers 1
life 1
linda 4
lives 1
lon 2
lost 1
makes 1
manor 1
martin 1
matter 1
may 2
meets 1
menace 1
more 1
nature 1
nearer 1
nephew 1
new 1
nineyearold 1
no 1
not 1
of 7
on 4
once 1
or 1
order 1
ornate 1
own 1
parents 1
paris 1
philippe 4
post 1
proper 1
putting 1
quite 1
rainy 1
rakishly 1
raoul 2
reckless 1
run 1
runs 1
save 1
seem 1
sense 1
she 6
shy 1
son 1
soon 1
source 1
struck 1
surrounding 1
than 1
the 14
them 1
they 1
this 1
those 1
threat 1
tick 1
to 9
tragic 1
trust 1
uncle 2
underage 1
understands 1
until 1
up 1
valmy 4
vast 1
wants 1
way 1
well 1
what 1
when 2
with 1
young 2
