15839469
/m/03nwzk8
/m/03nwzk8
René Goscinny

a 3
additional 1
among 1
an 1
and 1
at 1
averell 1
brothers 1
business 1
citizens 1
commit 1
dalton 2
deal 1
decides 1
family 1
fellow 1
first 1
for 3
four 1
headache 1
her 2
how 1
in 2
invites 1
joe 1
lady 1
later 1
life 1
love 1
lucky 1
luke 1
ma 1
more 1
mother 1
mrs 1
mum 1
of 1
old 1
once 1
particular 1
presenting 1
quiet 1
reckless 1
relatively 1
reputation 1
retirement 1
return 1
robberies 1
she 1
shootist 1
sons 2
spends 1
the 4
to 4
until 1
uses 1
visit 1
with 2
