7180741
/m/025vclx
/m/025vclx
Hilari Bell

a 12
about 2
acknowledge 1
across 1
after 1
agrees 2
and 10
are 1
as 7
asks 2
at 2
bail 1
battle 2
be 1
become 2
becomes 1
before 1
befriends 1
behind 1
black 1
boy 1
cenzar 5
city 2
come 1
comes 1
continue 1
continues 1
cost 1
countless 1
cousin 1
dayven 12
deceitful 1
definitely 1
discomforting 1
disloyal 1
does 1
done 1
dreamed 1
dry 1
during 1
enar 3
end 1
entrenched 1
everything 1
fail 1
farm 1
fields 1
finds 1
flaws 1
for 2
forced 1
four 1
friend 1
full 1
gift 1
gives 1
go 1
guardian 1
had 2
has 1
hates 1
have 2
he 15
healer 1
heals 1
help 1
him 4
his 5
hopes 1
how 1
httpbooksgooglecombooksaboutthewizardtesthtmlidunaupwaacaaj 1
hurt 1
if 2
ignored 1
in 4
infertile 1
instead 1
investigation 1
is 4
it 1
jail 1
journey 2
just 3
land 3
later 1
laziness 1
lord 3
lordowner 1
losing 1
lost 1
magic 1
make 2
minerals 1
money 1
move 2
much 1
new 1
no 1
not 2
nutrients 1
of 8
on 5
one 1
only 1
opinion 1
or 2
other 1
out 2
people 3
power 1
problem 1
reach 1
realization 1
realizes 1
reddick 3
refuses 1
regain 1
regarding 1
rule 1
says 1
school 1
see 1
sees 1
sent 1
side 1
sides 1
soldiers 1
solve 1
some 1
somewhere 1
soren 1
spells 1
spy 2
stays 1
stream 1
sundar 1
sure 1
surgeon 1
take 1
takes 1
tells 1
tent 1
test 1
that 3
the 27
their 3
them 2
then 1
there 2
they 4
thinks 1
this 2
three 1
time 1
times 1
to 21
training 1
two 1
used 1
uses 1
viewed 1
villagers 1
want 1
wants 4
war 3
was 1
watcherlad 1
way 2
what 1
when 4
white 1
who 1
will 1
win 1
with 1
wizard 3
wizards 5
works 1
year 1
zondar 1
