3736372
/m/09y3y7
/m/09y3y7
John Varley
1984
1 1
2113 1
2121 1
40000 1
600 2
a 36
abilities 1
ability 1
able 1
across 1
activate 1
adam 5
addiction 1
addled 1
after 4
again 1
aged 1
agents 1
aimed 1
air 1
alcoholaddled 1
alive 1
all 5
allies 1
along 2
also 1
among 1
an 5
anarchic 1
anathema 1
and 43
angels 2
any 1
apparently 2
are 6
arise 1
armed 1
army 3
arranged 1
as 11
at 5
attack 3
attacks 1
attempt 1
attempts 1
attended 1
avatar 2
aware 1
bands 1
bases 1
battle 1
be 2
become 2
becomes 2
been 1
beginning 1
beings 1
bellinzona 2
below 1
birth 1
bizarre 1
blaze 1
blimp 1
blow 1
bodybuilder 1
bombs 1
both 1
boy 1
brain 2
brains 2
bribery 1
bring 1
broadcast 1
bullets 1
but 2
buzzbombs 2
by 13
call 2
called 4
calvin 1
cameras 1
can 3
canada 1
captain 1
captured 1
carry 1
century 1
chance 1
chances 1
changes 1
chaos 1
charisma 1
children 3
choosing 1
chris 4
cirocco 18
city 2
class 1
climactic 1
combination 1
comes 1
commander 1
commanders 1
communicate 1
community 2
conal 1
confrontation 1
conquer 1
controlling 1
corpses 1
coven 1
creation 1
creations 1
creature 1
creatures 3
cremated 1
crew 2
criminals 1
crush 1
cured 1
damaged 1
daughter 1
deadly 1
death 1
deathsnakes 1
decides 1
declines 1
demented 1
demise 1
demon 1
descendent 1
desperate 1
destroy 1
destroyed 1
destroying 1
destruction 1
develops 1
die 1
dies 1
dirty 1
disintegrating 1
disorganized 1
disoriented 1
display 1
distinct 1
distraught 1
divinity 1
do 1
dumped 1
dying 1
each 1
earlier 1
earth 1
eggs 1
emerged 1
emprisonned 1
enabling 1
end 1
enlist 1
enormously 1
enough 2
entertaining 1
entities 1
entity 1
events 1
eventually 2
every 1
exists 1
expanded 1
experiences 1
exploits 1
extracted 1
face 1
fact 1
failed 1
falling 1
fate 1
feel 1
femaleonly 1
fending 1
festival 1
field 1
figure 1
figures 1
film 2
filmobsessed 1
final 1
finally 3
first 1
fitted 1
flamboyant 1
flights 1
for 4
force 4
forces 2
forcing 1
former 2
fragment 1
fragmented 1
free 3
friend 1
friends 1
from 9
fugitive 1
future 4
gaby 5
gaea 24
gaean 1
gaf 1
gene 2
genetic 1
genuine 1
giant 1
grip 1
ground 1
group 1
guide 1
habitat 1
had 1
hand 1
has 7
hatch 1
have 2
having 1
he 3
help 2
her 26
herself 3
hindenburglike 1
his 3
horrifying 1
hub 2
human 2
humankind 1
humans 2
ills 1
immediately 1
immolate 1
implant 1
imposing 1
in 25
include 2
increasingly 1
infant 2
infested 1
influence 1
information 1
inhabitants 1
injury 1
inside 2
instead 1
instigated 1
intelligence 1
intent 1
interim 1
into 3
invites 1
is 17
it 5
its 2
jar 1
jones 3
kept 1
kidnap 1
kidnapping 1
kilometers 2
king 1
kong 1
last 2
later 1
launches 1
law 1
leader 1
leading 1
leans 1
leaving 1
lieutenant 1
lifecycle 1
light 1
limited 1
liquor 1
live 2
living 2
long 1
loyal 1
lured 1
made 2
major 2
make 1
making 1
management 1
manages 1
manner 1
many 1
marilyn 2
material 1
means 2
meanwhile 1
meet 1
member 1
mentally 1
mercy 2
militant 1
mind 2
missiles 1
mixture 3
moment 1
monroe 2
months 1
more 1
mother 1
mutating 1
mysterious 1
named 2
near 1
nearly 2
nervecenter 1
nervecenters 1
new 5
next 2
nicknamed 1
nonetoobright 1
nova 2
now 6
nuclear 1
occurrence 1
of 50
off 3
offspring 1
old 3
on 3
once 1
one 4
only 1
order 1
originally 1
out 3
over 1
owing 1
own 4
pain 1
pandemonium 4
parasite 1
parasitic 1
part 2
parts 1
pass 1
past 1
peace 1
people 1
perception 1
perceptions 1
period 1
perpetrated 1
personality 1
physical 2
place 2
plan 1
planned 1
plans 1
planted 1
plotting 2
pods 1
ponders 1
position 1
possibly 1
preemptive 1
priests 2
race 3
raising 1
rather 1
reaches 1
records 1
recover 2
refueling 1
regional 1
regroup 1
regular 1
religious 1
remain 1
reminiscent 1
replaced 1
replacement 1
replica 1
represents 1
rescue 2
rescued 1
resistance 1
result 1
returned 1
returns 1
reunited 1
revealed 2
reveals 1
right 2
ringmaster 2
robin 2
rocket 1
rogue 1
ruler 1
run 1
ruthlessly 1
ruthlessness 1
scene 1
schemes 1
securing 1
see 1
senile 1
sets 1
several 1
shape 1
share 1
shares 1
she 12
short 1
significant 1
simply 1
slow 1
snitch 3
so 2
soldiers 1
some 3
somehow 1
son 2
source 1
spends 1
spite 1
spoke 1
spy 1
started 1
stayed 1
staying 1
still 1
strike 1
successor 1
successors 1
such 2
suit 1
supported 1
surgeon 1
surrendering 1
survived 1
survivors 1
take 1
takes 1
talk 1
than 1
that 10
the 66
their 3
them 2
then 1
therefore 1
these 4
they 4
thirteen 1
this 1
those 2
thought 1
thousand 1
through 3
throughout 1
time 3
times 1
titanide 3
titanides 3
to 39
together 1
top 1
torture 1
toward 1
transform 1
travelling 1
triggered 1
trilogy 1
twentyone 1
twilight 1
two 1
undead 1
unless 1
unusual 2
uses 1
various 1
victims 1
virtue 1
walk 1
war 1
was 3
well 1
were 1
werent 1
what 1
wheel 5
when 4
where 2
whereupon 1
which 4
while 3
whistlestop 1
who 4
will 1
wing 1
with 13
wizard 3
wonders 1
work 1
wormlike 1
year 1
years 2
zombies 3
