30467266
/m/0g5qtsq
/m/0g5qtsq
Paulo Coelho

{"/m/05hgj": "Novel"}
24 1
a 8
actress 1
ambitious 1
american 1
and 2
at 1
beloved 1
between 1
book 1
brink 1
cannes 1
career 1
case 1
characters 1
criminal 1
designer 1
destroy 1
detective 1
drama 1
eager 1
eastern 1
epic 1
ewa 1
extraordinary 1
fashion 1
festival 1
film 1
for 1
gabriela 1
get 1
hamid 2
has 1
him 1
himself 1
his 2
hoping 1
hour 1
igor 2
in 1
individuals 1
intelligence 1
jasmine 1
land 1
leading 1
left 1
life 1
loosely 1
magnate 1
man 1
middle 1
millionaire 1
modeling 1
narrates 1
of 4
on 1
period 1
promised 1
resolve 1
role 1
russian 1
savoy 1
set 1
several 1
story 1
successful 2
tale 1
tells 1
tension 1
the 8
to 4
who 1
wife 1
woman 1
worlds 1
