7131429
/m/0h5tsb
/m/0h5tsb
Adam Roberts
2006-03-16
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20 1
201 1
203 1
205 2
2063 1
2065 1
2075 1
2081 1
2130 1
21st 1
22nd 1
72 1
81 1
a 26
about 1
access 1
activism 1
address 1
adult 1
advent 1
aeronautics 1
after 2
agent 1
aims 1
all 2
aloof 1
also 1
ambassador 1
american 1
an 6
anarchy 1
and 24
antiupland 1
any 1
appointed 1
are 3
as 6
aspect 1
assassination 1
assumption 1
at 3
attack 1
attainability 1
authorities 1
awaken 1
basic 1
battlefield 1
be 1
become 2
been 1
before 1
being 4
betray 1
billionaire 1
biological 1
board 1
boon 1
born 2
both 2
boundaries 1
brother 2
bureaucratic 1
business 1
businessman 1
but 1
by 5
campaign 1
can 1
canada 1
cannot 1
capacity 1
captured 1
caunes 4
cemented 1
century 4
challenges 1
child 2
circa 1
civic 1
comes 1
coming 1
complex 2
conclude 1
conflict 2
consolidates 1
conspires 1
contending 1
control 1
corps 1
country 1
court 1
courts 1
coverage 1
critical 1
custody 1
cut 1
daughter 1
daytoday 1
de 1
default 1
deliver 1
designed 1
develops 1
die 1
direct 1
distress 1
docking 1
domestic 2
down 1
downland 1
during 2
earth 5
earthbound 1
eccentrics 1
effective 1
efficient 1
embarked 1
embarking 1
enough 1
entitymdashwhich 1
environment 1
envoy 1
erupting 1
escape 1
escapes 1
establishment 1
eu 3
european 1
everpresent 1
every 1
excursion 1
exercise 1
exigencies 1
exposition 1
extraterrestrial 1
facto 1
falling 2
family 1
father 4
finally 1
first 5
flees 1
flies 1
focus 1
foetus 1
for 7
forces 1
forward 1
from 1
fulfil 1
generations 2
gradisil 11
gyeroffy 2
half 1
hall 1
hang 1
has 4
have 1
he 2
held 1
her 10
hideaway 1
him 5
hindrance 1
his 4
history 1
hobbyist 1
hope 5
hotel 1
hours 1
household 1
houses 1
however 2
human 1
husband 1
image 1
in 17
increasing 1
insights 1
instance 1
into 6
introduced 1
investigating 1
investment 1
involves 1
is 13
issues 1
it 2
its 1
janzen 1
jon 2
kamikaze 1
kangaroo 1
killer 1
kills 2
klara 7
knowing 1
kooistra 2
kristin 1
large 1
largely 1
late 1
later 3
launch 1
leaps 1
led 1
legal 2
level 1
lie 1
lieutenant 1
life 1
lines 1
lodged 1
lodging 1
logistical 1
logistics 1
longer 1
loss 1
low 1
lower 1
makeshift 1
many 1
matriotismmdasha 1
meaningful 1
media 2
mercury 1
metamorphoses 1
meticulously 1
mikls 1
military 1
militaryindustrial 1
mining 1
mission 1
moment 1
months 1
more 2
murder 1
must 1
nakagomi 1
narrators 1
nation 3
nationalism 1
ndash 1
neighbour 1
neighourhood 1
neither 1
never 1
new 3
next 1
no 2
nonentity 1
novel 3
novelties 1
now 1
obligations 1
occurs 1
of 25
off 1
officially 1
on 10
onset 1
opportune 1
or 2
orbit 3
orbital 1
orbits 1
order 1
organise 1
orphaned 1
other 1
out 1
over 3
own 1
pair 1
partners 1
paul 4
peacetime 1
permanent 1
phenomenon 1
pioneers 1
place 3
plots 1
political 3
politically 1
politics 2
portion 1
pregnant 2
preserve 1
president 1
previous 1
product 1
project 1
propulsion 1
proudly 1
proupland 1
proves 1
providing 1
question 1
reaches 1
real 1
realisation 1
receives 1
relationship 1
remaining 1
remains 1
remove 1
requires 1
residence 1
respectively 1
retinue 1
return 1
returns 1
revealed 1
revenge 1
roberts 1
role 1
rounds 1
rudimentary 1
runin 1
sacrifices 1
second 1
secure 1
secures 1
sees 1
seizure 1
sent 1
serial 1
settlement 2
several 1
sexual 1
shatters 1
she 7
ship 1
shortly 1
shrewd 1
siege 1
slater 2
sol 2
solidarity 1
sons 2
soon 3
sorry 1
space 1
spanning 1
states 2
stateseu 1
stations 1
still 1
story 4
supply 1
supporting 1
systems 1
take 1
takes 3
target 1
taxation 1
technology 1
telling 1
tenant 1
tensions 1
territory 1
teruo 1
than 1
that 8
the 60
their 3
there 2
these 1
those 1
timeline 1
tires 1
to 19
town 1
transformed 1
trap 1
travel 1
treaties 1
trying 1
turn 1
turned 1
turns 1
twenty 1
two 1
unassailability 1
under 2
undercover 1
unique 2
united 3
upland 7
uplanders 1
uplands 8
upon 1
us 6
usuc 2
usupland 1
vacuum 1
victory 1
visits 1
waits 1
war 6
wealthy 1
well 1
what 1
which 1
while 1
who 2
with 9
without 1
would 1
years 2
young 1
zerog 1
