8046748
/m/026pn4t
/m/026pn4t
Lawrence Miles
2003
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
about 1
actually 1
alter 1
ambulance 1
an 1
and 1
bargained 1
buried 1
control 1
could 1
course 1
dangerous 1
driver 1
exist 1
faction 1
famous 1
for 2
get 1
history 1
hours 1
human 1
image 1
inangela 1
intersect 1
is 1
may 2
more 1
next 1
not 1
of 2
opinions 1
or 1
out 1
over 1
paradox 1
paths 1
phenomenon 1
pop 1
public 1
recruit 1
six 1
something 2
star 1
starting 1
subcultural 1
than 1
that 2
the 4
their 1
there 1
they 2
this 1
tiffany 1
to 1
town 1
uncover 1
underneath 1
valentine 1
war 1
whose 1
will 2
with 1
world 1
wouldbe 1
