18632107
/m/04gw79y
/m/04gw79y


{"/m/06n90": "Science Fiction"}
500 1
5000 1
a 35
abandoning 1
aboard 1
about 2
accept 1
accepts 1
access 2
accompanied 1
across 1
activated 1
advanced 1
after 5
agree 1
agrees 1
airlock 1
alerted 1
alien 1
alive 2
all 2
alone 1
along 2
also 3
always 1
ambush 1
amongst 1
an 3
and 63
another 3
answered 1
anyone 1
approach 1
are 14
arkeon 6
arkeonites 1
around 1
arrival 1
arrive 3
arrives 2
arriving 1
as 16
astronic 1
at 11
atmosphere 1
attack 1
attacked 2
attempt 1
auros 4
authorities 2
away 1
back 4
badly 2
base 10
be 9
because 1
been 8
before 4
beginnings 1
behind 2
being 4
beings 1
better 1
blocked 1
blow 1
board 1
body 1
bombs 1
both 1
bottom 1
bounty 3
bowman 21
brain 2
breathable 1
brought 1
but 8
by 19
called 2
can 8
cant 1
capacity 1
capture 1
captured 2
cargo 2
casing 1
catches 1
cause 2
causing 1
cell 1
chance 1
chase 1
chronon 1
claim 1
claims 1
claws 1
code 1
collider 2
come 2
command 6
commander 1
commanding 1
complete 1
comply 1
computer 5
condition 1
constructed 1
containing 1
contains 2
control 3
convoy 2
cooperate 1
core 5
corpse 1
course 1
creature 1
crew 17
critical 2
cryocharge 1
cryofreeze 1
curiosity 1
cuttin 6
dalek 49
daleks 33
damaged 1
data 2
daughter 2
days 1
dead 1
death 1
debris 1
decide 1
deciding 1
defeat 1
defeated 2
defence 1
departs 1
descends 1
described 1
deserted 1
designation 1
designer 1
despite 2
destroy 3
destroyed 3
destroying 4
detonate 2
devastated 1
devil 1
devolved 1
did 1
dies 1
disable 1
disarm 1
disarray 1
discharged 1
discover 2
discovered 1
discovers 1
disembark 1
dishonorably 1
distraction 1
doctor 53
doesnt 1
down 5
dozens 1
draconian 1
duct 1
due 1
dying 1
earth 8
edge 8
either 1
element 1
eliminate 1
else 1
emergency 1
empire 2
encounter 1
energy 1
enough 1
enraged 1
ensure 1
escape 3
escaping 1
escort 2
