20510022
/m/05200r0
/m/05200r0
Harry Turtledove


a 5
accidentally 1
against 2
algarve 3
algarvian 1
algarvians 3
an 2
and 7
are 2
army 1
as 1
assault 1
attempt 1
attention 1
away 1
battle 2
begin 1
blown 1
book 1
brigade 1
but 1
by 3
camp 2
captain 1
caravan 2
cinnabar 1
come 1
completely 1
continent 1
disrupt 1
dying 1
eat 1
fight 1
forced 1
forest 1
forthwegians 1
friends 1
from 3
get 1
goat 1
had 1
hills 1
his 2
ice 1
in 12
instead 1
is 6
istvan 1
it 1
joins 1
kaunian 1
kaunians 3
keep 1
kill 1
killed 2
kuusamans 1
lagoan 1
lagoans 2
land 1
last 1
leading 1
leaving 1
leofsig 1
loose 1
losing 1
magic 2
mamming 1
mammoth 1
more 1
naantali 1
obuda 1
of 6
on 5
or 1
other 1
people 1
plegmund 1
project 1
purified 1
raid 2
refugees 1
rely 1
renews 1
scene 1
set 1
showing 2
sibians 1
sidroc 1
skarnu 1
slaughters 1
source 1
south 1
squad 1
start 1
starts 1
stew 1
sulingen 2
take 1
takes 1
that 1
the 28
their 1
them 1
they 1
to 9
toward 1
trasone 1
unkerlant 4
unkerlanters 1
unreliable 1
up 3
use 1
valmiera 2
very 1
war 1
way 1
wear 1
western 1
which 2
who 2
winter 1
with 1
withdraw 1
won 1
yaninans 1
zuwayza 1
