2096411
/m/06lwt_
/m/06lwt_
Walter Scott
1824-06
{"/m/0hwxm": "Historical novel"}
a 29
abandon 1
accompanied 2
accompany 1
accordingly 2
acquaintance 1
acting 1
adherents 1
after 4
afterwards 1
against 1
agree 1
alan 10
all 2
allow 1
allowance 1
allowed 2
already 1
also 2
amidst 1
ample 1
an 7
and 41
annan 1
announced 1
announcing 1
applied 1
apply 1
arranged 1
arrived 3
arthur 1
as 11
asked 1
at 5
attack 1
attempt 1
attempting 1
await 1
aware 1
away 1
awoke 1
be 2
beach 1
became 2
been 4
before 4
begged 1
begin 1
being 2
benjie 2
betrayed 1
between 1
blind 1
brief 1
brig 1
brother 1
buonaventure 1
but 2
by 11
called 1
campbell 1
captor 1
carried 1
cause 2
cavalry 1
ceased 1
charles 1
client 1
closely 1
commences 1
communicated 1
companion 1
completed 1
concerned 1
conditions 1
conducted 1
conference 1
confined 1
confusion 1
consented 1
considerable 1
contemplated 1
conversation 1
correspondence 1
cottage 1
could 1
country 1
course 1
court 1
courtesies 1
crakenthorp 1
crosbie 1
cumberland 1
custody 1
danced 1
danger 1
darsie 7
days 3
decided 1
declined 1
departed 1
destination 1
detained 2
determined 1
disappeared 1
discovered 1
disguised 1
disperse 1
do 2
dressed 1
drowned 1
during 1
each 1
eccentric 1
edinburgh 2
edward 1
embark 1
ensued 1
entrance 1
ewart 2
exchange 1
exile 1
explaining 1
explanation 1
fair 1
fairford 5
fairladies 1
family 2
father 2
favour 2
favourite 1
fever 2
few 2
fiddler 1
first 2
firth 1
fisherman 1
fishers 1
fishing 3
followers 1
for 11
fought 1
found 1
foxley 1
friend 3
from 10
gang 1
geddes 2
general 2
gentry 1
george 1
government 1
grace 1
guardianship 1
guidance 2
guide 1
had 13
handed 1
hanoverian 1
have 1
having 3
he 23
heard 2
henceforward 1
her 4
herries 7
hesitated 1
him 12
himself 1
his 29
history 1
horseback 1
house 3
however 4
idle 1
in 15
indicating 1
infantry 1
inn 2
inquiries 1
instantly 1
instructions 1
instructor 1
interfere 1
interrupted 1
interview 1
intimated 1
into 1
introduced 2
invited 1
it 1
jacobite 2
jacobites 1
join 1
joshua 1
journey 1
killed 1
king 1
lady 1
laird 1
landing 1
last 1
law 1
leader 1
leading 1
learned 1
learnt 1
leave 1
leaving 1
led 1
letter 3
life 1
lilias 6
lips 1
live 1
long 1
lords 1
made 2
magistrate 1
make 2
many 1
married 1
maxwell 1
meanwhile 1
merrymaking 1
might 1
mistake 1
monastery 1
morning 1
mr 10
mysterious 1
mysteriously 1
name 2
nanty 1
nearly 1
neighbourhood 1
neighbouring 1
nephew 1
nets 1
next 1
niece 1
nixon 2
no 1
not 2
now 1
nursed 1
obtained 2
of 20
offered 1
old 1
on 4
once 1
ordered 1
ordinary 1
other 2
out 1
over 1
overtaken 1
own 1
owner 1
paper 1
pardon 1
part 1
partial 1
particulars 1
party 1
peebles 2
permit 1
peter 1
placed 1
plaintiff 1
pleading 1
please 1
plot 1
pocket 1
prepare 1
pretender 2
prince 2
prior 1
prisoner 1
provost 1
quaker 2
questioned 1
ramble 1
rank 1
reached 1
readiness 1
real 1
rebel 1
rebellion 1
received 1
recognising 1
recovering 1
redgauntlet 3
refused 1
relation 1
reproached 1
respecting 1
return 2
returned 1
rioters 1
rising 1
river 1
room 2
rushed 1
said 1
schoolfellow 1
search 1
see 1
several 2
ship 1
should 4
shown 1
sir 1
sister 2
smugglers 1
so 2
sobs 1
solway 1
some 1
son 2
spend 1
squire 2
started 3
startled 1
station 1
story 1
strange 1
stuart 1
studying 1
sufficiently 1
suggested 1
suppertime 1
supported 1
supporters 1
sword 1
tale 1
tears 1
term 1
that 15
the 44
their 3
them 4
then 1
there 1
they 3
this 1
thither 1
threw 1
through 1
throwing 1
tide 1
to 37
told 2
took 1
traitor 1
transported 1
travelling 1
trumbull 1
turn 1
twentyfifth 1
unaccompanied 1
unarmed 1
uncle 2
under 2
understanding 1
unpardoned 1
until 1
up 1
upon 1
urge 1
urged 1
vessel 1
visited 1
visitor 1
visitors 1
voluntary 1
waiting 2
warn 1
warrant 1
was 30
weeks 1
well 1
went 1
were 2
when 6
where 6
which 4
while 1
who 9
whom 1
whose 1
wife 1
wished 1
with 13
woman 1
would 1
year 1
young 1
