897058
/m/03ms_q
/m/03ms_q
Terry Pratchett
1993
a 4
alderman 1
all 1
an 1
and 6
are 2
as 4
ask 1
at 1
back 1
because 1
begin 1
believed 1
best 1
blackbury 2
book 1
bowler 1
build 1
but 1
by 3
campaigning 1
can 2
care 1
cemetery 5
citizens 1
comes 1
community 1
conglomerate 1
council 2
counciller 1
day 2
dead 9
discussing 1
down 1
end 1
evidence 1
faceless 1
famous 1
find 1
forced 1
forget 1
former 1
friend 1
friends 1
gang 1
going 1
have 1
he 1
hear 1
help 1
helped 1
his 3
home 1
however 1
in 3
including 1
interees 1
interest 1
is 1
it 4
johnny 7
judgment 1
later 1
led 1
link 1
living 2
longer 1
meetings 1
meets 2
modern 1
must 2
neglected 1
no 1
not 1
of 7
offices 1
on 1
one 2
only 1
out 1
past 1
person 1
plan 1
puts 1
reach 1
realise 1
realizes 1
rediscovered 1
remember 1
residents 1
sale 1
see 2
semibelieving 1
shortcut 1
speaks 1
spooky 1
starts 1
stop 1
story 1
take 1
talk 1
thanks 1
that 1
the 24
their 1
them 1
then 3
they 2
thinks 1
thomas 1
through 1
to 10
town 2
trapped 1
tries 1
various 1
volunteers 1
while 1
who 2
with 1
wobbler 1
