6209312
/m/0fwx88
/m/0fwx88
Louis Cha
1960
a 9
about 1
adventure 1
affection 1
after 3
again 1
ago 1
agrees 1
ai 3
already 1
also 1
an 3
and 14
anguish 1
are 1
around 1
artist 2
artists 2
attacked 1
based 1
be 2
because 1
become 1
becomes 1
been 1
before 2
begins 1
believes 1
blinded 1
body 1
by 6
calm 1
cannot 1
cheng 9
childhood 1
chivalry 1
close 1
combined 1
community 2
confesses 1
control 1
cure 2
deadly 1
death 3
deceased 1
decides 1
defeating 1
deliver 1
disciple 1
disguise 1
disrupt 1
each 1
election 3
encounters 1
enemies 1
enemy 1
even 1
expose 1
eyes 2
family 1
famous 1
father 1
fei 11
feng 4
filled 2
find 1
finding 1
for 5
from 3
fukangan 3
funeral 1
general 1
government 1
had 2
has 1
he 11
hearing 1
help 3
her 6
him 6
his 5
hosted 1
hu 15
if 1
impressed 1
in 5
indeed 1
inherits 1
instigate 1
is 10
journeys 1
justice 1
kill 1
killed 1
killing 3
king 1
land 1
latter 1
leader 1
leaves 1
leaving 1
life 1
lingsu 7
loses 1
loss 1
love 1
loves 1
maiden 1
martial 4
meeting 1
meets 3
miao 8
mistaken 1
named 1
new 1
nun 1
oath 1
of 10
on 1
palms 1
part 2
participate 1
ping 3
places 1
plan 1
plot 1
poison 1
poisoned 1
powerful 1
prayer 1
raised 1
recites 1
refrains 1
regains 1
renfeng 5
responsible 1
reveals 1
ruthless 1
save 1
scheme 1
search 1
seniors 1
sense 1
several 2
she 6
shield 1
shows 1
siblings 1
sight 1
signs 1
silent 1
skills 1
so 1
son 1
sorrow 1
starts 1
stops 1
story 1
stumble 1
sworn 1
taken 1
tells 1
temporarily 1
that 5
the 20
themselves 1
then 1
they 1
though 1
three 1
tiannan 2
time 1
to 12
together 3
towards 1
tragic 1
travelling 2
tricked 1
trio 1
truth 1
trying 2
turmoil 1
two 1
unintentionally 1
upon 2
venoms 1
victims 1
villain 2
wants 1
was 1
when 2
which 1
while 2
who 2
wicked 1
with 9
witnesses 1
wits 1
wondering 1
words 1
wulin 2
years 2
yidao 2
young 2
yuan 3
ziyi 3
