13258353
/m/0464v7w
/m/0464v7w
Bernard Silvestris


1 2
10 1
11 1
12 1
13 1
14 1
2 2
3 2
4 2
5 1
6 1
7 1
8 1
a 10
about 1
accompanied 1
acquainted 1
active 1
addition 1
agrees 1
air 1
all 3
along 2
although 2
amoenus 1
an 1
analyzed 1
and 41
angels 2
angry 1
appears 1
are 9
as 3
asks 1
aspects 2
asserts 1
assigns 1
assists 1
attend 1
away 1
basis 1
be 1
beasts 1
beauty 1
become 2
been 1
begets 1
begin 1
behavior 1
being 1
below 1
between 1
beyond 1
bids 1
birds 1
body 4
book 1
both 1
boundary 1
brain 2
breast 1
bride 1
brightness 1
brought 1
by 6
called 1
can 1
catalogue 1
catalogues 1
cause 1
cease 1
celestial 2
chaos 1
chaotic 1
check 1
collaborate 2
companions 1
complains 1
complete 1
completion 1
conceives 1
concord 1
confused 1
constellations 1
containing 1
contemplation 1
contemplative 1
controlled 1
cosmic 2
cosmos 1
couplets 1
created 3
creation 5
creationfashions 1
creature 1
creatures 1
cycle 1
daughter 1
daughters 1
dazzles 1
declares 1
definite 1
delineate 1
demands 1
derived 1
descend 3
described 2
describes 2
design 1
destiny 2
detail 1
detailed 1
displays 1
disputed 1
distinguished 1
divided 1
divine 5
divinity 1
division 1
dwell 1
each 1
earth 5
earthly 1
elegiac 1
elements 2
eliminating 1
encounters 1
endelechia 4
equivalent 1
eternal 2
ether 1
everlasting 1
evil 2
exists 1
explains 1
fashioning 2
fate 1
favor 1
features 1
fire 1
fish 1
follows 1
for 8
forever 1
form 2
forms 1
forth 1
four 2
from 6
gain 1
generation 1
genius 1
god 4
good 3
govern 1
gramision 1
granted 1
granusionthe 1
greek 4
greets 1
guiding 1
had 2
harmony 1
has 3
have 1
having 1
he 1
head 1
heart 2
heavenly 1
heavens 4
held 1
her 7
herself 1
him 2
however 1
human 2
humors 1
hyle 3
ill 1
images 1
imarmene 1
imparts 1
imperfect 1
impose 1
impresses 1
in 14
individual 1
informs 1
intellect 1
into 2
is 15
it 5
its 5
knowledge 2
latin 1
laws 1
learn 1
left 1
life 3
limit 1
limits 1
liver 2
locus 1
loins 1
long 1
look 1
loving 1
lower 1
maker 1
man 4
manifests 1
manuscripts 1
marriage 1
material 1
matter 5
may 1
meet 1
meets 1
megacosmus 1
memory 1
microcosmus 1
mirror 1
model 1
moon 1
moonsome 1
mountains 1
mundus 1
natura 19
nature 3
natures 1
necessary 1
needed 1
never 1
nine 1
note 1
noys 12
of 49
on 3
one 2
operating 1
or 2
order 1
ordered 1
ordering 2
orders 1
organs 2
out 4
outermost 1
outside 2
over 1
part 1
participates 1
particularly 1
parts 1
passing 1
patterns 1
pauses 1
physical 1
physis 6
physismaking 1
plan 1
planetary 1
planets 1
plants 1
plea 1
poem 1
points 2
powers 3
practica 1
pray 1
pregnant 1
presents 1
prevent 1
primordial 2
principle 2
principles 1
prose 9
proud 1
provide 2
providence 2
providing 1
quintessence 1
rapt 1
rational 1
reach 1
reached 1
reaches 1
readings 1
realms 1
recovered 1
regions 1
relationships 1
requires 1
responsibility 1
rest 1
results 2
returning 1
reveals 1
review 1
right 1
rivers 1
rules 1
sanction 1
sanctuary 1
says 1
sea 1
searches 1
seat 3
secluded 1
see 1
seeing 1
seek 1
sees 1
senses 1
sensory 1
separates 1
sets 1
she 9
silva 4
since 2
sky 1
so 1
some 1
somewhat 2
soul 4
source 1
speaking 1
specific 1
sphere 1
spheres 2
spirits 2
stars 2
status 1
still 1
subject 1
submitted 1
suddenly 1
suited 1
summons 1
supreme 1
system 1
table 1
taint 1
take 1
tasks 1
tells 1
terrestrial 1
that 14
the 107
their 2
them 1
then 3
theorica 1
there 3
they 3
things 2
this 2
thousands 1
through 3
time 2
to 23
totality 1
travel 1
treated 1
tripartite 1
true 1
tugaton 1
turn 1
two 2
uncertainly 1
under 1
unformed 1
unite 1
universe 12
upon 1
urania 12
use 1
using 3
various 2
verse 9
water 1
wellbeing 1
what 1
when 1
where 1
which 4
who 4
wholly 1
whom 1
whose 3
will 5
with 9
within 1
work 3
world 2
