26275381
/m/0b75rfl
/m/0b75rfl
Léon Frapié
1904

a 13
academic 1
adam 1
administrative 1
admire 1
afraid 1
against 1
all 2
although 1
always 1
an 1
and 15
angry 1
anything 1
appear 1
are 4
arms 1
as 3
at 1
bargain 1
be 3
because 1
beings 1
belong 1
better 1
between 1
birds 1
bleeding 1
boaster 1
boys 1
brother 1
but 1
by 1
cannot 1
care 1
cat 1
chickling 1
children 5
circles 1
closest 1
comes 1
conceives 1
consolation 1
contact 1
daily 1
day 1
de 1
decides 1
declare 1
deliberately 1
despair 1
diary 2
diffidence 1
diplomas 1
directress 1
disappears 1
disinterested 1
district 1
dowry 1
dusts 1
early 1
ease 1
eats 1
enough 1
environment 1
eve 1
every 1
exist 1
experiences 1
extremely 1
fails 1
father 1
femme 1
fiance 1
finally 1
find 2
finds 1
fire 1
fiveyearold 1
for 3
from 1
full 1
gentle 1
get 1
girls 1
go 1
good 1
great 1
handled 1
has 1
he 1
help 1
her 13
hide 1
him 2
hindrance 1
hired 1
homes 1
human 1
imagine 1
in 9
include 1
inspire 1
is 7
keen 1
keep 1
kindhearted 1
kindness 1
leader 1
lights 1
like 1
little 2
loses 1
lowest 1
many 1
marrying 1
maternelle 2
menilmontant 1
might 1
miserable 1
mistigris 1
more 1
morning 1
mother 2
mouse 1
naturally 1
neglected 1
new 1
noisy 1
nose 1
observer 1
of 12
off 1
officials 1
older 1
on 1
one 2
only 1
out 1
parents 1
parisian 1
physically 1
place 1
poor 1
position 2
preparatory 1
primary 1
protection 1
pupils 1
quarter 1
relation 1
richard 1
rooms 1
rose 5
roughly 1
round 1
rude 1
same 1
school 5
schoolmate 1
securing 1
service 1
sets 1
she 8
shows 1
six 1
skirt 1
so 2
soon 1
starvation 1
stirs 1
strong 1
subordinate 1
succeeds 1
suddenly 1
superiors 1
sweeps 1
takes 1
tasks 1
teachers 1
than 1
that 4
the 30
their 2
them 4
there 1
thereby 1
they 6
this 2
thoughts 1
threatening 1
threatens 1
thus 1
time 2
to 17
too 1
training 1
transition 1
tries 1
trying 1
two 3
unintelligent 1
up 1
ward 1
washes 1
when 2
who 3
whom 1
with 3
woman 2
work 2
working 1
workingclass 1
would 1
wrath 1
years 1
young 1
