5870871
/m/0fb0_b
/m/0fb0_b
Marguerite Henry
1948
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 21
about 1
accompanies 1
accompany 1
after 2
afternoon 1
agba 17
albeit 1
all 2
alone 1
along 2
an 3
ancestor 1
and 29
arabian 5
are 4
army 1
arrives 1
as 4
at 2
attempts 2
away 1
back 2
bad 1
bailed 1
bankruptcy 1
barton 1
bay 1
be 3
beating 1
because 1
becomes 1
begin 1
behind 1
believe 1
biography 1
birthing 1
black 1
blank 1
bond 1
bought 1
boys 1
but 7
by 3
cade 1
camel 2
career 1
cat 1
caught 1
causes 1
celebrity 1
charges 1
chest 1
chestnut 1
chief 4
chooses 1
close 1
coat 1
colt 1
colts 1
come 1
comes 1
company 1
considered 1
considers 1
contemplates 1
continues 1
cook 1
cruel 1
dark 1
dates 1
day 1
days 1
death 2
decide 1
decision 1
depart 1
descendants 1
desperately 1
destroys 1
detests 1
develop 1
die 1
does 1
due 1
dun 1
ear 1
earl 8
early 1
eat 1
embarrassed 1
emblem 1
end 2
ending 1
england 1
enjoys 1
enough 1
entering 1
erasing 1
even 1
expect 1
fans 1
fast 3
favorite 1
feast 1
feeds 1
fen 1
fence 1
few 1
fictionalised 1
fights 1
finally 1
find 1
finding 1
finds 1
fits 1
five 1
foal 3
foals 1
fond 1
footnote 1
for 4
forced 1
fortunately 1
france 1
french 2
from 2
frowned 1
fulfilled 1
gives 1
godolphin 8
goes 1
gold 1
golden 1
gone 1
good 1
grave 2
gray 1
great 1
grimalkin 2
groom 4
had 2
has 3
have 1
he 12
heel 1
her 3
here 1
him 7
hind 1
his 14
hobgoblin 3
honey 1
horse 2
horseboy 1
horseboys 1
horses 3
hour 1
housekeeper 1
however 1
humans 1
hungrily 1
idea 1
ignores 1
in 12
including 1
inn 2
intervenes 1
into 2
is 21
it 2
jail 1
jailer 1
job 1
jumps 1
kept 1
kill 1
kindly 1
king 3
kitchen 1
knocked 1
lady 4
later 1
lath 1
leaves 1
left 3
life 2
lived 1
long 1
luck 2
lusty 1
man 3
many 1
mare 3
mate 1
matures 1
meant 1
meets 1
mess 1
milk 1
modern 1
more 1
morocco 3
mother 1
mute 1
name 1
named 1
names 1
near 1
nephew 1
new 1
newmarket 2
not 2
notices 1
novel 1
o 2
of 16
on 4
one 8
orphan 1
other 1
out 1
outruns 1
over 1
owner 2
palace 1
paris 1
participate 1
pedigree 1
points 1
promise 1
promising 2
prophecy 1
prophesying 1
proving 1
pulling 1
purse 1
put 1
quaker 3
queen 1
questioned 1
quite 1
race 3
racehorse 1
racehorses 2
races 1
racing 1
ramadan 2
realizes 1
refuses 2
regulus 1
released 1
remain 1
remains 1
requirements 1
return 1
returned 1
revealed 1
reveals 2
ride 1
roxana 4
run 1
searches 1
see 1
sees 1
sells 1
sent 1
sentences 1
setting 1
sham 20
she 2
sign 1
sir 1
six 2
skinniness 1
slave 1
sleeping 1
slowly 1
sneaking 1
sold 1
some 1
someday 1
sons 1
spot 2
spots 1
stable 1
stables 3
stall 2
starts 2
story 3
streets 1
successful 1
such 1
sultan 2
summons 1
sun 1
supposedly 1
swiftness 1
take 1
taken 1
tells 1
tend 1
that 9
the 69
them 1
then 2
they 5
this 4
thoroughbred 1
though 1
time 1
to 31
tonight 1
touched 1
training 1
treatment 1
treats 1
trio 1
true 1
two 2
undaunted 1
until 1
untrained 1
upon 2
victory 1
wakes 1
war 2
was 1
water 1
way 1
well 1
were 1
wheat 1
when 3
white 3
who 3
whom 1
wicken 1
wild 1
will 2
win 1
wind 2
with 9
within 1
words 1
work 1
workhorse 1
worries 1
worth 1
years 1
yellow 1
