1275458
/m/04pbgr
/m/04pbgr
John Gardner
1986-06-26
{"/m/06wkf": "Spy fiction"}
a 5
after 1
agents 1
ally 1
along 1
an 2
and 9
anyone 1
are 1
as 2
assassins 1
assisted 1
attempting 1
be 1
been 1
betrayed 1
bodyguard 1
bond 9
british 2
by 5
capable 1
capture 1
chased 1
clinic 1
competition 1
contest 1
corrupted 1
current 1
dbutante 1
decapitated 1
defected 1
described 1
disguise 1
dodging 1
due 1
dying 1
en 1
encounter 1
european 1
faithful 1
female 1
finds 1
for 1
friends 1
from 3
guillotine 1
had 1
has 2
he 1
head 3
health 1
her 1
himself 1
his 5
honour 1
housekeeper 2
hunt 1
illness 1
in 2
including 1
is 6
journey 1
kgb 1
kill 1
known 1
last 1
leader 1
may 3
miss 1
missing 1
moneypenny 2
mysterious 1
no 1
now 1
number 1
of 5
officers 1
on 2
one 1
open 1
or 1
orchestrated 1
organisations 1
own 1
people 1
police 1
present 1
price 2
put 1
quinn 1
rahani 3
recovering 1
reported 1
rescue 1
retrieve 1
role 1
route 1
searching 1
secret 2
service 2
she 1
soon 1
spectre 3
steve 1
subsequently 1
suffered 1
tamil 1
that 1
the 5
to 7
trust 1
visiting 1
warned 2
where 2
while 1
who 2
willing 1
with 1
would 1
wouldbe 1
wounds 1
yet 1
young 1
