32810454
/m/0h3xj28
/m/0h3xj28
Alan Bissett
2001
{"/m/01jym": "Bildungsroman"}
16 1
a 1
about 1
activities 1
adventures 1
also 1
alvin 3
alvins 1
an 1
and 6
around 1
as 1
at 2
attempting 1
attend 1
attention 1
behind 1
being 1
belinda 1
boyracing 1
but 1
by 1
called 1
car 1
centres 1
choosing 1
class 2
connor 1
constantly 1
context 1
continue 1
debates 1
development 1
dilemma 1
engaging 1
enjoyable 1
falkirk 1
film 1
formative 1
friends 2
gain 1
generally 1
gifted 1
group 1
groups 1
he 1
himself 1
hindered 1
his 6
in 4
including 1
intellectually 1
interest 1
interested 1
is 2
leave 1
life 1
livingston 1
local 1
love 1
mocks 1
most 1
much 1
music 1
narrative 1
of 5
older 1
on 1
or 1
prefect 1
resident 1
school 1
slightly 1
sneers 1
social 1
spends 1
struggles 1
the 9
three 1
time 1
to 3
town 2
tracked 1
tyra 2
university 1
uppermiddle 1
whilst 1
who 1
with 2
yearold 1
