12949913
/m/02z12qb
/m/02z12qb
Andrew Kaplan
1990

a 6
about 1
affair 1
against 1
agent 1
agents 3
aires 2
almayo 1
american 1
an 3
and 10
are 1
argentinas 2
argentine 3
arranges 1
arrested 1
as 1
assassination 2
at 3
atlantic 1
author 1
battle 2
battleship 1
be 1
beautiful 1
become 1
british 2
brutal 1
buenos 2
but 2
by 5
captured 2
charles 1
colonel 1
coup 3
course 1
critical 1
days 1
de 1
dead 1
decadent 1
determine 1
discover 1
early 1
embassy 1
entwined 1
epilogue 1
escape 2
estancia 1
events 2
fate 1
final 2
flashbacks 1
fortune 1
founder 1
from 2
fuentes 1
german 4
germans 2
gestapo 1
get 1
gideon 1
government 1
graf 2
grandfather 1
grandfathers 1
greatest 1
he 1
head 1
her 1
high 1
him 1
horrific 1
identity 1
ii 1
in 8
information 1
intend 1
involving 1
is 6
john 1
julia 5
julias 3
leads 2
learns 1
letter 1
life 1
link 1
manages 2
match 1
may 1
meanwhile 1
murder 1
murdered 1
notorious 1
of 14
only 2
ortiz 1
oss 1
part 1
planned 1
plate 1
playboy 1
plot 3
police 1
polo 1
poloplaying 1
president 1
prevent 1
prison 1
rampaging 1
raoul 2
raven 3
real 1
release 1
revenge 1
river 1
rose 1
saved 1
secret 2
sent 1
ship 1
shipping 1
shot 1
sinking 1
society 3
somehow 1
spee 2
spy 1
stalingrad 1
stewart 8
stewarts 2
story 1
takes 1
tell 1
that 4
the 30
them 2
these 2
to 11
trail 1
two 1
uncover 1
uncovers 1
vargas 1
war 2
was 2
who 3
whom 1
whose 1
with 1
world 1
