1991222
/m/06cdw8
/m/06cdw8
Julian Barnes
1985
a 4
affected 1
also 1
although 1
and 6
animal 1
animals 1
any 1
as 1
atop 1
authentic 1
be 2
bear 1
been 1
braithwaite 1
brief 1
but 1
by 1
camel 1
chapters 1
cinquantaine 1
claiming 1
coeur 1
collection 1
consisting 1
could 2
de 1
desk 1
differentiate 1
display 1
doctor 1
dog 1
down 1
encounters 1
english 1
exist 1
fifty 1
flaubert 6
focus 1
follows 1
for 1
france 1
genuine 1
geoffrey 4
had 1
he 2
held 1
himself 1
how 1
identified 1
imagery 1
in 2
incidents 1
independently 1
is 2
it 1
landmarks 1
learns 1
life 1
love 1
main 1
many 1
municipal 1
museum 1
museums 1
narrative 1
neither 1
novel 1
of 6
on 1
one 1
parrot 4
period 1
perroquets 1
plotline 1
pnbsp187 1
reflections 1
related 1
retired 1
sat 1
sheep 1
simple 1
sites 1
stuffed 1
such 1
that 2
the 9
therein 1
this 1
to 3
tracking 1
trains 1
trying 1
two 1
ultimately 1
un 1
une 1
usually 1
various 1
visiting 2
was 2
which 3
while 3
widowed 1
with 1
works 1
writing 1
wrote 1
