11560986
/m/02rj66j
/m/02rj66j
Peter Robinson
1989
a 6
above 1
against 1
ago 1
alan 1
among 1
an 1
and 3
annoyingly 1
are 1
area 1
as 1
banks 1
body 1
brothers 1
case 1
cocky 1
collier 1
colliers 1
conclusion 1
connection 1
corpse 1
discovered 2
down 2
events 1
faceless 1
family 1
farmer 1
finds 1
five 1
fletcher 1
fourth 1
greenock 1
guest 1
haunting 1
he 1
heads 1
hidden 1
himself 1
his 2
house 1
identity 1
in 4
influence 1
inspector 1
investigation 1
is 3
john 1
katie 1
killer 1
knows 1
local 1
maggotridden 1
more 1
most 1
murder 1
of 4
owner 1
possible 1
powerful 1
race 1
realizes 1
rush 1
sam 1
same 1
she 1
shocking 1
silent 1
slow 1
so 1
soon 1
suspects 1
swainsdale 1
swainshead 1
taciturn 1
than 1
the 11
their 1
time 1
to 3
toronto 1
towards 1
track 1
tranquil 1
troubled 1
unsolved 1
use 1
valley 1
village 1
wealthiest 1
when 2
who 1
wife 1
with 1
years 1
