1058538
/m/0466pgd
/m/0466pgd
Piers Anthony
1983
21st 1
a 21
absolute 1
accidental 1
actions 1
admit 1
advancing 1
advantage 1
agony 1
all 1
already 2
also 1
an 2
and 22
another 1
approach 1
are 3
arranged 1
as 7
assume 2
assumed 1
awry 1
back 1
balance 5
be 5
because 1
become 1
before 2
behind 1
being 1
best 1
betraying 1
between 1
black 1
boat 1
bribe 1
bring 1
brought 1
burden 1
but 2
by 7
can 3
candidate 1
cannot 3
care 2
cedric 1
century 1
changes 2
cheats 1
choice 2
chooses 1
chronos 1
circumstances 1
clear 1
clients 1
close 1
collect 1
coming 1
committing 1
conflict 1
conversation 1
correct 1
could 2
course 2
daughter 1
dead 1
deal 1
deals 1
death 15
deathwatch 1
decided 1
decides 1
defeat 1
demonstrated 1
departs 1
despite 1
destination 1
destined 2
destiny 2
determine 1
die 2
dies 1
discovers 1
do 1
doesnt 1
dominion 1
done 1
downstairs 1
draw 1
due 1
duties 2
dying 1
each 1
early 1
earth 1
employment 1
ends 1
entails 1
eternal 1
eventually 1
evil 6
exactly 1
excess 1
explain 2
exposed 1
eyes 1
fall 1
fallen 1
fate 5
father 1
feels 1
first 2
for 7
forces 1
form 3
four 1
free 1
from 3
fulfill 1
gaea 1
gem 1
gets 1
go 2
goes 1
going 2
good 1
great 1
gun 1
had 3
harmed 1
has 12
he 15
head 1
heaven 2
hell 4
help 1
her 8
hers 1
herself 1
him 7
himself 1
his 15
horse 2
how 3
however 4
humans 1
in 17
incarnation 7
incarnations 2
incarnationsofimmortality 1
influence 1
innocent 1
insists 1
instructs 1
instruments 1
interfere 1
intimidate 1
into 7
introduce 1
introduces 1
is 15
it 1
its 1
job 1
jr 1
just 1
kaftan 4
killed 1
kills 1
knowledge 1
learning 1
leaves 1
leaving 1
license 1
life 5
lifts 1
like 2
limousine 2
living 1
longer 2
love 3
loves 1
luna 11
made 1
magic 2
magician 11
makes 1
man 2
manages 1
manipulated 2
manipulation 1
means 1
meet 1
merchant 1
money 1
mortal 1
mortals 2
mortis 1
mortishis 1
motives 1
much 1
must 2
nature 2
need 1
new 2
next 1
no 3
not 3
now 2
of 33
office 6
on 7
one 1
only 2
opportunity 1
or 4
order 2
other 5
out 1
own 5
pale 5
pathetic 1
places 1
plan 1
plane 1
planned 1
plans 1
plate 1
play 1
plot 1
plots 1
politics 1
position 1
power 1
powerful 1
previous 1
prophecy 2
protect 1
protection 2
pull 1
pulls 1
purgatory 4
purpose 1
put 1
queue 1
reading 1
realizes 1
refuses 2
released 1
replace 1
research 1
residing 1
return 1
reveals 1
rides 1
right 2
romance 1
sacrifice 1
sacrificing 1
satan 10
save 1
scheme 1
schemes 1
seem 1
sees 1
she 6
shoots 1
since 1
so 2
soul 9
souls 2
specter 1
sphere 2
startled 1
starts 1
states 1
steed 1
strike 2
strong 1
stubborn 1
subject 1
suicide 1
supernatural 1
switch 1
take 3
target 1
thanatos 1
that 10
the 57
their 1
then 4
there 1
thereby 1
they 1
this 5
threat 1
through 1
thus 2
thwart 1
ties 1
time 3
to 43
too 1
transferred 1
trap 1
tries 1
trigger 1
unable 1
unassailable 1
under 1
until 1
use 2
used 1
view 1
visited 1
visiting 1
volunteers 1
want 1
war 1
was 2
way 2
well 1
were 1
what 1
when 2
whether 1
which 2
who 9
whoever 1
whom 1
wields 1
with 12
within 1
without 3
woman 2
work 1
young 1
zane 21
