6357789
/m/0g2chw
/m/0g2chw
Tony Abbott

a 40
abandoned 1
aboard 4
about 3
acoustic 1
addition 1
admiral 2
after 6
agency 2
agrees 1
al 17
alive 3
all 2
along 2
already 1
also 3
american 1
and 32
angler 1
animals 1
another 1
appears 1
approaching 1
are 6
around 1
arrival 1
arrives 1
arthur 2
as 5
ash 2
ashore 1
associates 1
at 4
attempt 1
authorities 1
avert 1
avoid 1
away 4
back 5
barricading 1
battered 1
be 3
become 1
been 1
before 2
begins 1
being 1
belongs 1
best 1
blows 1
board 4
boarding 1
bonds 1
borrowing 1
both 2
boudicca 2
bring 1
broadmoor 2
broke 1
brought 3
build 1
but 4
by 8
call 1
calls 1
captures 1
car 1
cargo 2
cause 1
caused 1
center 1
certainly 1
changed 1
children 1
chinese 1
clandestine 1
clay 1
cliff 1
climb 1
cloud 2
coming 1
commander 1
commercial 1
communication 1
company 5
computer 1
concerned 1
consolidated 1
containing 1
convergence 4
convince 1
coordinates 1
could 1
course 1
covertly 1
craft 2
crash 1
cruise 1
cyclone 1
daughter 1
daughters 1
day 1
days 1
dc 1
dead 1
death 1
deaths 1
decided 1
decides 1
deepest 1
deepsea 1
deirdre 5
delivers 1
derailed 1
diamonds 1
dierdre 1
dig 1
dirk 1
disaster 1
discover 2
discovered 1
discovers 2
disease 1
disgruntled 1
dismantled 1
distance 1
does 1
dorsett 8
dorsetthowever 1
dorsetts 1
drives 1
during 1
durto 1
each 1
easter 1
employee 1
encounter 1
endured 1
engulfed 1
enlists 1
erupt 1
eruptions 1
escape 3
every 1
everybody 1
everyone 1
evidence 1
evil 1
explorer 1
extremely 1
failed 1
fails 1
family 2
famous 1
far 2
fatally 1
father 1
feeling 1
few 1
finally 1
find 6
finds 2
fish 1
fisherman 1
flee 1
fletcher 1
flies 2
flight 1
floating 1
fly 3
following 1
food 1
for 4
force 1
four 1
fresh 1
friend 2
from 17
futuristic 1
gemstone 1
giant 1
giordino 1
girl 1
given 1
gladiator 5
glomar 1
go 1
government 1
group 1
guide 1
had 1
hand 1
has 4
have 3
having 1
hawaiian 1
he 10
head 1
headed 1
heading 2
heads 1
hears 1
heat 1
helicopter 3
help 1
her 6
here 2
highpowered 3
him 1
himself 1
his 6
hit 1
holding 1
home 2
hoping 1
hospital 1
hostage 1
however 2
hunter 1
ice 1
immediately 1
in 14
indeed 1
infiltrate 1
information 1
injuries 2
instead 1
into 1
investigate 1
investigating 1
is 23
island 20
islanders 1
islands 1
it 2
items 1
itonda 1
james 1
jet 2
junk 1
kidnapped 1
kill 1
killed 2
kills 1
kunghit 3
landing 1
large 1
last 1
launches 1
learn 1
learns 1
leaves 1
load 1
loaded 1
located 1
looming 1
loss 1
love 1
maeve 12
make 1
manages 1
marine 2
mason 1
meanwhile 1
medical 1
method 1
might 1
miles 1
mine 3
mining 3
missing 2
mission 1
more 2
most 1
mourn 1
mr 1
mysterious 1
name 1
narrowly 1
national 1
native 1
navy 1
need 1
net 1
new 1
no 1
northeast 1
northwest 1
not 4
numa 4
number 1
oahu 2
obtained 1
occur 1
ocean 2
of 20
officials 1
on 8
one 4
only 2
onto 4
operation 1
ordinary 1
other 1
out 2
outbreaks 1
outside 1
own 1
pacific 3
parked 1
party 1
passenger 1
passengers 1
passing 1
perplexed 1
phone 1
pickup 1
pitt 23
plague 1
plan 2
planning 1
pledged 1
point 1
polar 3
predict 1
president 1
prior 1
put 1
pyroclastic 1
queen 3
quickly 1
radio 1
ran 1
realize 1
received 1
receives 1
recovering 1
recovery 1
recruited 1
reflect 1
reflector 2
reflects 1
remains 1
rescue 4
rescued 1
rescues 1
research 3
respond 1
returning 1
revolutionary 1
romanzo 1
routes 1
ruthless 1
sadly 1
safe 1
sailboat 1
sailship 1
same 1
sandecker 2
scene 1
scientists 1
sea 1
searching 1
searing 1
security 1
seems 1
seen 1
sees 1
sent 1
serious 1
set 1
several 1
seymour 2
she 4
ship 8
shipping 1
shocked 1
shoots 1
since 1
sister 2
skis 1
small 3
smuggled 1
so 1
some 2
sonar 1
sons 4
soon 1
sound 1
soundwave 1
soundwaves 4
sources 1
southeast 1
southwest 2
spending 1
spotted 1
states 1
steers 1
still 2
storm 1
stranded 1
stumbled 1
successfully 2
such 1
suggest 2
supplies 1
survived 1
surviving 1
sustained 1
take 1
takes 1
that 13
the 86
their 5
them 2
there 2
they 7
third 1
this 3
threat 1
three 1
through 1
time 3
to 41
told 1
tour 2
tourists 3
toward 1
towards 2
tropical 1
try 1
two 1
uncover 1
underwater 1
united 1
untimely 1
up 1
upon 2
us 2
use 1
used 1
using 3
very 1
vessel 4
visit 1
volcanoes 1
warehouse 1
was 1
washington 1
water 1
way 1
we 2
week 1
weeks 1
wellington 1
were 1
what 1
when 2
where 1
which 2
while 2
who 3
will 4
winched 1
with 5
work 1
yacht 7
young 1
zone 2
zones 1
