11394179
/m/02rb089
/m/02rb089
Francine Rivers
1998
a 8
about 1
accept 3
after 5
all 2
americans 1
and 28
anyway 1
apart 1
appears 1
approach 1
are 2
around 2
as 4
at 4
away 1
back 1
baptized 1
because 4
becomes 1
been 1
before 3
begin 2
beginning 1
behavior 1
being 1
believe 1
believing 1
bit 1
blamed 1
blames 1
bridge 1
bring 1
brogan 4
burden 2
but 3
by 5
cadi 29
calls 1
camps 1
can 2
cannot 1
carries 2
carrying 1
caught 1
cave 2
ceremony 1
children 1
chirst 1
christ 2
come 2
comes 4
community 2
company 1
confrontation 1
contact 1
convinces 1
danger 1
dark 1
day 3
dead 1
death 1
decides 1
demon 1
despite 1
determined 1
died 2
difference 1
discovers 1
distant 1
do 1
does 1
driven 1
drowned 3
during 2
eater 14
elda 5
elen 4
end 1
entire 1
escape 1
even 1
eventually 3
everyone 1
explain 1
explained 1
eye 1
fact 1
fagan 9
faith 1
family 1
father 1
fear 1
finally 2
find 1
finds 1
first 1
following 2
for 2
forbes 1
forbidden 1
forgives 1
form 1
free 1
from 4
front 1
funeral 1
fury 1
get 1
girl 3
give 1
go 3
god 9
goes 2
gorawen 1
grandmother 1
grief 1
guidance 1
guilt 3
had 3
happened 1
happens 1
has 2
hates 1
have 2
he 3
hear 1
heaven 1
heavy 1
help 1
her 19
herself 2
him 6
himself 1
his 7
hopes 1
house 1
how 1
if 1
implying 1
in 12
injured 1
injuring 1
intrigued 1
iona 1
is 11
it 5
just 1
kai 4
keeping 1
kendric 2
kills 1
know 1
last 1
later 1
leader 1
learn 1
light 1
lil 1
lilybet 2
listening 1
little 2
live 1
lives 2
log 1
makes 1
man 13
many 1
mid1850s 1
miz 3
more 2
mother 4
motives 1
mountain 2
moving 1
named 2
near 1
never 1
newfound 1
next 2
nickname 1
night 3
no 2
normal 1
not 2
nothing 1
notices 1
novel 1
of 32
old 1
oldest 1
on 2
once 1
one 2
only 1
onto 1
opens 1
or 1
origins 1
other 1
others 3
out 3
outside 1
over 1
overhears 1
overwhelmed 1
own 1
paintings 1
parents 2
past 1
people 1
performs 1
person 1
place 1
pouring 1
power 1
proclaimed 1
promise 1
promises 1
proof 1
rather 1
realize 1
relieved 1
removed 1
return 1
reveal 2
revealed 1
reveals 1
revolves 1
rid 1
river 2
safety 1
saying 1
says 2
scene 1
see 2
seeks 1
sees 1
self 1
sent 1
seriously 1
settlement 1
several 1
share 2
shares 1
she 13
shouldnt 1
showdown 1
sim 1
sin 14
sins 7
sister 1
slipping 1
small 1
so 1
somehow 1
something 1
son 2
speaks 1
strikes 1
taints 1
take 2
talk 1
talking 3
tearing 1
tell 1
tells 1
tenyear 1
testimony 1
than 1
that 13
the 68
them 2
then 1
there 2
they 3
thinking 1
thinks 1
this 2
through 2
time 2
to 29
tragedy 1
truth 1
try 1
turns 1
two 1
unburden 1
up 1
used 1
village 5
villagers 3
visit 1
visits 1
was 3
well 1
welsh 1
what 4
when 1
where 1
while 1
who 6
wishes 2
with 10
withdrawn 1
word 3
year 2
