3766182
/m/09zvwl
/m/09zvwl
Janet Evanovich
2001-06-19
a 3
adds 1
aid 1
along 1
and 4
apparent 1
appear 1
assigned 1
assistance 1
back 1
be 1
becomes 1
bit 1
breakingandentering 1
bring 1
burg 1
burnedout 1
calls 1
changed 1
cheating 1
cigarette 1
cigarettes 1
come 1
contraband 1
court 1
craziness 1
daughters 1
dealer 1
dechooch 3
divorces 1
dougie 1
dunphy 1
eddie 1
fails 1
family 1
for 3
friends 1
get 1
hasnt 1
have 1
he 1
help 1
her 3
herself 1
highschool 1
hoodlums 1
husband 1
in 6
is 1
it 1
kruper 1
lesbian 1
life 2
make 1
may 1
mixed 1
mobster 1
moonman 1
more 1
moves 1
mysterious 1
of 3
older 1
out 1
perfect 1
plus 1
polite 1
proclaims 1
ranger 2
retirement 1
scheme 1
selling 1
semiretired 1
she 1
short 1
sister 1
stephanie 5
talent 1
that 1
the 4
themselves 1
then 2
things 1
to 5
two 3
up 1
valerie 1
vanish 1
very 1
walter 1
when 2
with 4
worse 1
