8393498
/m/0271xb4
/m/0271xb4
Gene Wolfe
1987
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 3
aboard 2
absence 1
accounts 1
after 2
aftermath 1
again 1
all 1
allpowerful 1
already 1
also 1
an 4
and 10
apocalyptic 1
area 1
as 1
ascent 1
attributed 1
away 1
back 1
baldanders 1
be 2
before 1
beginning 1
begins 2
being 1
beings 1
between 1
book 3
bringing 1
childhood 1
citadel 1
claw 1
concilator 1
continuation 1
deceased 1
destruction 1
develops 1
during 1
dying 1
earth 1
encountered 1
enemy 1
enigmatic 1
enough 1
enters 1
faces 1
facing 1
finds 2
flood 1
form 1
former 1
fountain 1
four 1
from 1
glory 1
godlike 1
grant 1
grown 1
has 3
have 2
he 8
healing 1
him 1
himself 1
his 8
home 1
human 1
immense 1
in 3
including 1
is 2
its 2
journey 1
judged 1
land 1
learns 2
lease 1
life 3
log 1
malrubius 1
many 1
master 1
match 1
meets 1
mostly 1
much 1
mysterious 1
narration 1
new 4
novel 1
of 16
old 1
on 4
once 3
out 1
outside 1
part 1
passed 1
people 1
place 1
planet 1
possesses 1
power 2
rebirth 1
rejuvenate 1
restored 1
return 1
reveals 1
revive 1
rewritten 1
room 1
severian 5
ship 1
shortly 1
since 1
sitting 1
size 1
slowly 1
small 1
solar 1
soon 1
spaceship 1
subsequent 1
sun 5
suns 1
system 1
take 1
takes 1
task 1
that 5
the 27
thecla 1
throne 2
thus 1
to 9
turns 1
tzadkiel 1
undine 1
unlike 1
urth 7
valeria 1
vicinity 1
wake 1
washes 1
when 1
who 3
wife 1
will 2
win 1
years 1
yesod 4
yet 1
zak 1
