2772027
/m/081sy7
/m/081sy7
Karen Traviss
2006-08-29
a 6
about 1
according 1
achieve 2
acknowledgement 1
acquire 1
actions 1
acts 1
after 2
against 1
ailyn 2
allana 1
alliance 2
ally 1
although 1
an 3
anakin 1
and 16
another 1
answer 1
appears 1
arc 1
are 1
as 5
author 1
avoid 1
be 5
becoming 2
been 1
begins 1
believes 1
ben 2
bitterest 1
blood 1
bloodlines 1
boba 2
both 1
bounty 1
break 1
but 3
by 1
can 3
cells 1
chance 1
choice 3
chooses 1
civil 1
conflict 2
continues 2
core 1
corellian 1
corellians 2
coruscant 3
cousin 2
create 1
creating 1
dangerous 1
dark 3
darth 2
daughter 2
decides 3
deciding 1
decision 1
dedication 1
degenerating 1
different 1
distrust 1
divided 1
do 1
doesnt 1
doubt 1
during 1
end 1
enemy 1
enough 1
episode 1
even 2
experience 1
fall 2
falling 2
families 3
family 1
fear 1
fett 4
figure 1
figures 1
finally 1
find 1
flesh 1
flow 1
foe 1
follow 1
for 2
force 2
friends 1
from 2
full 2
future 1
galactic 1
galaxy 2
get 1
gets 1
gev 1
goal 1
going 1
grace 1
granddaughter 1
grandfather 3
greatest 1
had 2
han 3
has 1
have 1
he 14
head 1
her 3
him 6
his 11
hunter 1
hurt 1
if 2
iii 1
illness 1
immortalize 1
in 11
including 1
interrogation 1
is 8
it 4
jacen 13
jedi 2
journey 1
just 1
ka 1
kill 2
kills 2
knight 1
knowledge 1
late 1
laws 1
learns 1
left 1
leia 1
let 1
letting 1
like 1
live 2
local 1
long 1
love 1
loves 1
luke 2
main 1
make 1
makes 1
many 1
mara 1
may 1
means 1
meant 1
meanwhile 2
meets 1
militarygrade 1
mind 1
mirta 1
more 2
much 1
must 2
not 1
novel 1
numerous 1
of 5
on 5
only 2
order 2
organa 1
out 3
own 1
part 1
path 2
people 1
portrayed 1
raid 1
raids 1
ranking 1
rather 1
repressive 1
revenge 1
roots 1
sacrifice 1
salsolo 1
save 1
see 1
sees 1
shakes 1
shocks 1
shoots 1
side 3
sith 5
skywalker 3
smuggling 1
solo 3
soloskywalker 1
son 1
sorrow 1
star 1
subplot 1
supposed 1
target 1
targets 1
tassels 1
teachings 1
tenel 1
terrorism 1
that 10
the 24
their 2
them 1
themselves 1
thing 1
this 4
thrackan 1
through 1
time 1
to 24
trying 1
turn 2
two 1
vader 2
vel 1
vengeance 1
very 1
walks 1
war 1
wars 1
was 1
weapons 1
were 1
when 3
which 1
while 1
who 1
will 1
with 5
witness 1
worthwhile 1
would 2
wracked 1
yet 1
your 3
