232392
/m/01hsq5
/m/01hsq5
Geoff Ryman
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
11 1
15 1
252 1
253 3
36 1
a 6
about 1
and 2
another 1
are 3
bakerloo 1
basic 1
between 1
but 1
by 1
can 2
car 1
carriages 1
carry 1
castle 1
character 3
characters 1
characters3 1
chronological 1
connection 1
containing 1
current 1
describe 1
details 1
devices 1
driver 1
each 2
eg 1
elephant 1
embankment 1
every 1
except 1
explained 1
final 1
foreword 1
from 3
general 1
give 1
going 1
has 1
have 1
heads 1
hypertext 1
in 7
index 1
introduced 1
is 4
it 1
january 1
lead 1
line 1
links 2
london 1
makes 1
nearby 1
next 1
no 1
novel 2
of 1
on 3
one 2
online 1
or 2
order 2
other 1
overall 1
partly 1
passenger 1
people 2
positional 1
print 1
proceed 1
quote 1
read 1
reader 1
replaced 1
seat 1
seats 1
section 2
sections 1
separate 1
seven 1
some 1
station 1
structure 1
that 1
the 16
there 2
these 1
this 1
thoughts 1
through 1
to 4
traditional 1
train 4
travelling 1
underground 1
using 1
version 2
which 1
who 2
will 1
with 2
words 1
