3319760
/m/095l8g
/m/095l8g
Antonia Forest
1953
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 12
about 2
admiral 1
adventures 1
afraid 1
afternoon 1
again 1
agent 1
agrees 2
allies 1
allowed 1
along 1
already 1
ambition 1
an 3
and 23
anne 1
anquetil 4
any 1
anyone 1
anything 1
appear 1
are 8
as 1
at 2
back 1
be 2
before 1
belongs 1
boat 2
bridge 1
but 7
by 2
called 1
can 2
cant 1
capturing 1
cellars 2
children 6
collect 2
college 1
come 2
comes 1
coming 1
command 1
complete 1
crow 1
dartmouth 1
day 1
deliberately 1
deserted 1
destroyed 1
destroyer 1
details 1
disappointed 1
discovers 1
dispose 1
down 2
drowned 1
early 1
easter 1
else 1
emerges 1
engine 1
enter 1
enters 1
escape 2
eventually 1
exploring 1
family 1
fierce 1
finds 1
fishermen 1
fishing 1
fleet 1
foley 10
follow 1
follows 1
folly 1
for 2
forbidden 1
forces 1
forget 1
found 2
friends 1
from 5
fulfils 1
further 1
genuinely 1
gets 1
ginty 4
girls 2
glad 1
go 5
grown 1
guard 1
gun 1
had 1
happen 1
happened 1
has 5
he 8
hears 1
her 4
hide 1
him 6
his 5
holidays 1
home 1
hotel 2
house 3
however 2
ignores 1
important 1
in 4
injured 1
instead 1
irresistible 1
is 11
its 1
keep 1
kind 1
knocked 1
lamp 1
lands 1
later 2
lawrie 3
lewis 3
light 1
lighthouse 3
little 1
look 2
make 1
man 1
manages 1
mariners 3
marlow 1
marlows 1
men 1
microfiche 1
more 1
morning 1
naval 3
navy 1
near 1
nest 1
next 1
nicola 9
night 1
noise 1
not 2
of 6
oldport 1
on 3
one 2
onto 1
ordered 2
others 1
out 3
over 1
own 1
panics 1
passing 1
past 1
persevere 1
peter 10
place 1
plan 1
planning 1
pretend 1
produces 1
puts 1
recognises 1
recovers 1
reluctantly 1
rescued 1
returns 1
revolver 1
robert 2
run 1
sea 1
secret 1
secrets 2
seeing 1
seems 2
seriously 1
she 7
ships 1
shoots 1
show 1
sign 2
signal 2
signalling 1
signals 1
since 1
sister 1
snubbed 1
so 3
some 1
someone 1
sos 1
spending 1
spotted 1
st 1
stairs 2
starts 1
staying 1
storm 1
submarine 2
sugar 1
take 1
taken 1
taking 1
teachers 1
tell 1
telling 1
tells 1
that 11
the 36
their 1
them 4
there 1
they 5
thing 1
this 1
throws 1
to 27
told 1
traitor 1
trip 1
trying 1
turns 2
unconscious 1
up 2
upset 1
village 2
walk 1
warns 1
watching 1
way 2
what 1
when 5
where 1
which 1
while 1
who 2
whole 1
with 3
without 2
