14825373
/m/03gz6yf
/m/03gz6yf
Gavin Lyall
1980
10 1
a 6
addressing 1
agnes 1
algar 1
alive 1
an 1
and 2
anything 1
are 1
as 8
assigned 2
assistant 1
assisted 1
britain 1
british 1
by 1
czech 1
death 1
defector 1
disaster 1
do 1
door 1
downing 1
enemies 1
even 1
events 1
famed 1
following 1
foreign 1
former 1
from 2
george 1
grenade 1
hand 1
harbinger 1
harry 1
hero 1
his 1
horrific 1
however 1
in 2
including 1
insatiable 1
is 2
john 1
keep 1
keeping 1
kgb 1
lecher 1
leftists 1
liaison 1
local 1
luxembourg 1
major 1
many 1
massive 1
maxim 3
mi5 1
military 1
minister 2
murder 1
must 1
nato 1
nuclear 1
number 1
of 2
officer 1
on 1
or 1
order 1
pacifists 1
past 1
perhaps 1
policy 1
predecessor 1
premier 1
prevent 1
prime 2
private 1
professor 1
protect 1
radical 1
related 1
relations 1
residence 1
sas 1
secret 2
secretary 1
service 1
special 1
strategist 1
street 1
students 1
such 1
suicide 1
summit 1
surrounding 1
the 7
through 1
thrown 1
to 7
tyler 5
tylers 1
uncover 1
various 1
war 1
wartime 1
weapons 1
well 3
white 1
will 1
with 1
