190089
/m/019_x7
/m/019_x7
Ivan Yefremov

{"/m/06n90": "Science Fiction"}
a 11
action 1
alien 1
almost 1
also 1
amount 1
an 3
and 6
archeologist 1
are 4
as 2
aspects 1
attempt 1
attention 1
author 2
because 1
before 1
but 1
by 2
captain 1
caused 1
circle 3
civilization 1
civilizations 2
classic 1
communication 1
communist 1
conflict 1
context 1
costly 1
crew 1
cultural 2
damage 1
described 1
distant 1
earth 4
energy 1
episodes 1
events 1
exchange 1
experiment 1
fair 1
fasterthanlight 1
few 1
fight 1
focused 1
fuel 1
future 1
galaxy 1
gives 1
great 3
heroes 1
his 1
historian 1
historic 1
history 1
ideal 1
in 8
including 1
information 1
infrequent 1
intended 1
interstellar 2
into 1
involved 1
is 4
its 1
lecture 1
lines 1
meet 1
members 1
missions 1
moreover 1
never 1
no 1
not 1
notably 1
novel 3
of 8
on 2
one 1
opportunity 1
or 1
our 1
person 1
pictured 1
planetary 1
plot 1
predators 1
principal 1
put 1
radio 1
reckless 1
relay 1
resolution 1
scientific 1
scientist 1
selfpunishment 1
sent 1
set 1
several 3
show 1
shown 1
social 1
society 1
spaceships 1
starship 2
such 1
taking 1
the 16
there 4
therefore 1
this 2
though 1
throughout 1
to 2
transmission 1
transmissions 1
travel 1
united 1
used 1
utopia 1
very 1
voluntary 1
was 1
where 1
which 1
whole 1
whose 2
with 1
world 3
