16250593
/m/03wf0qt
/m/03wf0qt
Sue Grafton
1987
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 24
about 2
accident 3
according 1
actually 2
after 1
alibi 1
all 1
also 5
alvin 2
an 3
and 11
are 1
as 4
asked 1
at 3
aunt 2
back 1
barbara 1
be 1
beach 2
been 2
before 1
bigamist 1
billy 7
blonde 2
bounces 1
boy 2
brother 1
building 1
but 2
by 6
called 1
car 3
case 1
caused 1
charges 1
check 2
classifying 1
come 1
coming 1
commits 1
company 1
confirmed 1
confronting 1
conviction 1
coral 3
d 1
daggett 15
daughter 1
days 2
dead 1
deadbeat 1
death 4
deliver 1
discover 2
discovers 2
disregard 1
doing 1
dollars 2
done 1
doug 2
down 2
dressed 1
drunk 1
earlier 1
ease 1
essie 1
excon 2
family 3
fanatical 1
ferrin 1
few 3
fifteenyearold 1
finally 1
find 1
finds 1
first 1
for 6
found 1
four 1
friend 2
from 4
front 1
full 1
funeral 1
gahan 2
get 1
given 2
giving 1
green 1
gun 2
had 4
has 4
have 1
he 7
helped 1
her 9
him 2
himself 2
hiring 1
his 11
hitched 1
homemade 1
household 1
however 2
hundred 1
illicitly 1
immediately 1
in 17
indebted 1
introduced 1
investigating 1
involvement 1
is 6
it 1
john 1
jumps 1
kept 1
killed 4
killer 2
killing 2
kinsey 12
knowing 1
known 1
learns 2
leaving 1
levels 1
life 1
liked 1
limardo 5
list 1
lives 1
living 1
local 1
lovella 3
made 1
man 2
manslaughter 1
marina 1
marital 1
marriage 1
married 1
means 1
might 1
money 3
motive 1
murder 1
murdered 1
named 1
no 1
not 2
nothing 1
now 2
numerous 1
of 13
off 1
on 4
one 2
only 1
out 3
outfit 1
own 1
padding 1
park 1
pass 1
people 1
plotting 1
police 2
polo 4
polokowski 2
poorly 1
prison 3
pursuing 1
ramona 3
rarely 1
realises 1
received 1
recently 1
recognised 1
recognises 1
release 1
released 1
religious 1
repeated 1
retainer 1
ride 1
rob 1
school 1
search 1
second 1
sets 1
she 5
shortage 1
shortly 1
shot 1
silencer 1
since 1
sister 2
sleeping 1
sole 1
staggering 1
status 1
stole 1
stolen 1
subjected 1
suicide 1
survivor 1
suspect 1
suspects 1
suspicion 1
talk 1
that 7
the 25
there 1
this 1
thousand 1
through 2
throwing 1
time 2
to 17
together 1
tony 11
top 1
torment 1
tough 1
towelling 1
tracks 1
trailer 1
truth 1
twentyfive 1
unable 1
uncle 1
underwent 1
used 2
vehicular 1
views 1
violence 1
was 8
were 1
westfall 2
when 2
which 2
while 1
who 7
wife 1
wig 1
with 6
woman 2
women 1
wreck 1
young 1
