16053821
/m/03qmntt
/m/03qmntt
Anthony Horowitz
2003-01-06
{"/m/0dwly": "Children's literature"}
a 15
about 1
accost 1
after 2
against 1
american 3
an 2
and 12
are 7
arrested 1
as 2
asks 1
at 3
award 1
away 1
baker 1
bastille 2
bateau 1
be 3
been 1
beware 1
blue 1
bridge 1
brothers 6
but 2
buy 1
by 4
cake 2
called 1
chat 2
coffee 1
come 1
company 2
confection 1
contain 1
criminals 1
demand 1
diamond 3
down 2
dream 1
drops 1
drug 1
drugs 4
due 2
entering 1
erica 2
factory 1
fighting 1
find 1
for 3
fortunately 1
french 3
from 5
gave 1
gendarmes 1
get 2
giant 1
giving 1
gray 1
grey 1
gris 2
guesses 1
had 1
hands 1
has 1
he 3
hearing 1
held 1
help 1
her 2
holiday 1
hospital 1
hotel 3
hurriedly 1
in 8
interested 1
interrogated 1
into 1
is 6
jed 1
jewish 1
jump 1
just 1
kidnapped 1
kill 1
knife 1
knock 1
know 1
later 1
lavache 2
le 2
locked 1
looking 1
mad 3
madame 1
man 2
mathis 1
meaning 1
meet 1
mention 2
met 1
mouche 1
must 1
nice 2
nick 4
of 1
off 1
oilman 1
on 1
out 3
overdose 1
paris 1
passing 1
place 2
police 1
pushed 1
quarter 1
racket 1
realises 1
realize 1
released 1
remembers 1
return 1
revealed 1
room 1
running 1
sachet 2
saw 1
says 1
see 1
seems 1
she 1
shop 1
smuggling 1
some 2
someone 1
sometimes 1
soon 1
sret 1
star 1
staying 1
steward 4
street 1
sugar 2
taken 1
tells 1
texan 1
that 2
the 27
their 2
them 8
they 14
things 1
this 1
thought 1
threateningly 1
thugs 1
tim 2
time 1
to 14
track 1
train 3
try 1
trying 1
turned 1
turns 1
two 1
under 1
up 1
upside 1
used 1
were 2
what 1
when 2
while 1
who 4
win 1
with 2
yoghurt 1
