21899586
/m/05p3w6_
/m/05p3w6_
Chris Riddell
2009-02-05
12 2
500 1
60 1
a 51
about 4
above 1
absolute 1
academe 1
academies 1
academy 3
accept 1
accident 1
accommodation 1
across 2
actually 1
adjusts 1
advanced 1
advent 1
affecting 1
after 11
afterward 2
again 3
age 2
all 3
along 1
always 2
ambushed 1
amount 1
an 2
anchor 1
and 67
angrily 1
another 1
anxious 1
appears 1
approximately 1
are 16
arisen 1
army 2
around 2
arrival 1
arrive 2
as 19
asking 1
asks 2
at 4
attacked 1
attend 1
attracted 2
away 2
back 4
banderbear 2
barkwater 1
battle 2
be 7
became 3
because 6
become 2
becoming 1
been 5
before 4
began 1
beginning 1
being 3
believe 1
between 1
blown 1
blows 1
blueshell 2
borrow 1
both 4
boxes 1
brack 1
branxford 1
break 1
breaks 1
bridge 1
bring 1
brother 3
build 1
building 2
built 1
bullet 1
bursts 1
business 1
but 13
buy 1
by 10
called 5
calls 1
came 4
can 3
captured 1
care 1
cart 1
caterbird 4
chain 1
charter 1
chase 1
citizen 1
city 5
clam 2
cloddertrog 1
close 2
cloud 1
coated 1
collect 1
comes 1
coming 1
company 1
confessing 1
connection 1
continue 1
contracted 1
copperwood 1
corrupt 1
cough 1
couple 1
created 1
creation 1
crystals 2
cut 1
darkness 1
dart 2
daughter 2
day 3
dead 1
deadbolt 1
death 1
decide 2
decides 1
decks 2
deepwoods 1
described 1
describes 1
desk 1
destroy 1
determine 1
did 2
die 1
died 2
different 1
disappear 1
disappeared 1
disappointed 1
discover 1
discovered 1
discovers 1
disease 1
dishonest 1
dislike 1
district 1
districts 2
do 1
dock 1
docks 2
doctor 1
does 1
doesnt 2
dont 1
doors 1
dormitory 1
down 2
drafted 1
drew 4
drill 1
drinking 1
drives 1
du 1
during 3
dying 1
each 1
eager 1
ear 1
earlier 1
edge 4
emerge 1
enjoying 2
escape 3
establishment 1
eudoxia 7
evening 2
every 1
exactly 1
except 2
experience 1
explain 1
explore 1
fact 1
fall 1
fate 1
father 6
feeling 1
felftis 1
few 2
fight 2
figure 2
find 5
finding 1
finds 2
fire 1
first 1
fix 1
flight 5
flown 1
foot 1
for 14
forced 1
former 2
formerly 1
free 1
freeglader 1
friend 3
friendly 1
friends 6
friston 2
frla 1
from 5
gabtrolls 3
gaining 1
galston 4
game 2
gaming 1
garden 1
gate 2
get 4
gets 2
give 1
given 1
glade 8
gladers 1
glades 1
gladly 1
glister 1
glisters 1
gloamglozer 3
gloamglozers 4
go 5
goaded 1
goblin 5
goblins 2
goes 2
going 1
golden 1
golderayce 3
goldrayce 2
good 1
gravestone 1
gray 1
grayle 2
great 11
greeted 1
grey 2
grint 1
gross 1
group 1
guards 1
guerre 1
guide 1
gyle 1
had 6
happened 1
happens 1
hard 2
has 5
have 4
he 31
head 1
heading 2
heal 1
healed 1
healing 1
hearing 1
heavily 1
help 1
hence 1
her 5
hide 1
hides 1
hiding 1
high 2
highly 1
him 14
himself 1
his 19
history 1
hive 5
hiver 1
home 1
hostile 1
house 1
houses 1
hq 1
hunted 1
if 1
illusion 1
immortals 1
in 26
inheritance 1
instead 3
into 6
involving 1
is 36
it 16
its 2
jealous 1
job 1
journey 5
junior 1
just 3
keep 1
keris 1
kill 5
killed 3
killing 1
kills 1
knocked 1
knocks 1
known 1
knows 1
lake 2
landing 2
landmarks 1
lantern 1
late 1
later 3
leave 4
leaves 3
leaving 1
lend 1
less 1
let 1
lets 1
level 1
librarian 1
library 1
life 2
light 3
like 2
lining 1
linius 2
little 1
live 2
lived 2
located 1
lodd 1
looked 1
looks 1
love 1
lowly 1
machines 1
made 2
main 1
makes 2
man 3
managed 2
manages 1
match 2
maugin 2
medicine 1
meet 5
meets 3
mentioned 1
met 1
midwood 4
military 2
mine 14
miner 1
mining 1
money 2
month 1
months 1
mortally 1
most 1
mother 2
much 2
murder 1
nate 42
needed 1
needs 1
neutrality 1
never 1
new 1
night 2
no 1
noise 1
none 1
not 2
novels 1
now 1
objects 1
obliges 1
obnoxious 2
of 36
off 4
offer 2
offering 1
offers 1
office 1
old 4
on 12
once 1
one 1
ones 1
only 3
opens 1
or 2
original 2
originally 1
other 1
others 1
out 10
outfits 1
over 4
own 1
owner 7
pain 1
painting 1
palace 1
pallitax 2
partner 1
pass 1
passage 2
past 1
people 3
per 1
period 1
persuade 1
phrax 1
phraxcrystals 1
phraxdocks 1
phraxlung 1
phraxmines 1
phraxpistol 1
picked 1
picture 1
pilot 3
place 2
places 1
planned 1
plans 1
pleased 1
plot 1
pockets 1
pointed 1
pole 2
population 1
possible 1
post 2
posting 1
power 1
powerful 1
prade 3
present 1
previous 1
pro 1
proceed 1
professor 7
proper 1
protagonist 1
prowlgrin 1
pure 1
pursues 1
quarter 2
quickly 1
quint 6
quintinius 1
reach 5
reaches 1
realizes 1
refuses 1
related 1
released 1
releases 1
reminiscent 1
rescue 1
restored 1
return 1
returns 1
reunited 1
revealed 4
reveals 1
rewards 1
ripples 1
riverrise 9
rock 2
rocks 1
rook 10
room 1
rudd 2
ruin 1
ruins 1
ruler 1
runs 1
sanctaphrax 4
saves 1
saw 1
says 1
scare 1
scholar 1
second 2
secret 1
secretary 3
secretly 1
see 2
seeded 1
seen 1
sees 2
sergeant 5
set 3
settlement 1
settlements 1
she 5
shed 1
shelter 1
shiny 1
ship 4
ships 2
shocked 1
shoot 1
shop 2
shops 1
shortly 2
shot 2
should 1
shrykes 1
sickness 1
six 1
skewered 1
sky 5
slip 1
slowly 1
sneaks 1
so 1
some 2
son 2
soon 1
sort 1
source 1
speak 3
spires 1
split 1
spoiled 1
spring 1
state 1
stay 2
steal 1
steamer 1
stick 2
still 1
stilt 3
stole 1
stone 3
stories 1
storm 2
stormphrax 2
story 1
stuff 1
succeed 1
suddenly 2
sumpwood 3
suspicious 1
sweeps 1
swore 1
take 1
takes 1
talk 1
talks 1
tavern 1
tell 2
telling 1
tells 1
than 1
that 18
the 157
their 4
them 15
then 6
there 4
they 55
theyd 1
things 2
thinks 1
third 2
this 6
thorn 1
thousand 2
three 4
through 1
throws 1
thunder 1
to 77
together 2
told 1
towards 1
tower 1
trained 1
travel 8
traveled 1
tries 2
try 1
trying 2
turn 1
turns 2
twig 13
twilight 1
two 4
uncle 1
uncovers 1
undertown 3
unstable 1
up 11
upon 1
used 4
using 2
varis 1
vast 1
vehicle 2
verginix 2
very 1
visits 1
volatile 1
vulpoon 1
waif 1
waiting 3
wakes 3
was 10
watch 1
water 1
waters 1
way 3
wealth 1
webfoot 1
week 1
weeks 1
weelum 1
weight 1
well 2
were 3
what 2
when 16
where 13
whether 1
which 13
while 6
who 4
whom 1
wig 2
wigs 2
will 2
win 1
wiped 1
with 16
witness 1
woods 1
work 8
worked 1
working 1
workshop 1
worries 1
would 1
wound 1
wounded 1
years 6
young 1
