25689479
/m/025_81h
/m/025_81h
William Gibson
2007-08-02
{"/m/0vgkd": "Black comedy", "/m/06n90": "Science Fiction", "/m/06nbt": "Satire", "/m/014dfn": "Speculative fiction"}
10s 1
a 17
about 1
activities 1
addicted 1
adept 1
admiration 1
advertising 1
alberto 1
alluded 1
american 1
an 2
and 14
angeles 1
antianxiety 1
appears 1
are 1
art 1
artist 1
as 4
assigned 1
assignment 1
associated 1
attempt 1
attempts 1
background 2
band 1
based 1
being 1
believes 1
bigend 1
bobby 1
brown 8
brusque 1
but 1
by 5
calls 1
can 1
captive 1
capture 1
cargo 1
celebrities 1
chinese 1
chombo 2
circles 1
circuitous 1
city 1
communicate 1
compliant 1
confidence 1
connection 1
connections 1
consecutive 1
consents 1
contain 1
container 2
controls 1
converge 1
corrales 3
covert 1
cuban 1
cult 1
curator 1
curfew 2
dangerous 1
data 1
death 1
deaths 1
described 1
describes 1
destination 1
disinformation 1
dispatches 1
diverted 1
docile 1
dollars 1
drugs 1
due 1
early 1
encompasses 1
enforcement 1
european 1
expert 1
explain 1
facilitators 1
family 4
father 1
favour 1
fed 1
first 1
follows 1
for 4
forgers 1
form 1
former 1
free 1
freelance 2
from 1
funds 1
geospatial 1
government 1
gps 1
grid 1
hand 1
handles 1
has 1
have 2
he 3
help 1
helped 1
henry 1
her 1
hired 1
his 8
hollis 3
hopes 1
however 1
hubertus 1
if 1
illegal 1
in 14
information 1
instead 1
intelligence 1
intricate 1
investigates 1
ipods 1
iraq 2
irradiate 1
is 13
it 1
journalist 1
kept 1
known 1
law 1
lead 1
leads 1
little 1
locative 1
los 1
magazine 1
man 8
may 1
member 1
milgrim 2
military 1
millions 1
mogul 1
mysterious 2
nascent 1
navigation 1
neoconservative 1
new 2
nights 1
node 1
novel 2
obstinate 1
odile 1
of 19
old 7
on 3
only 1
operative 1
organization 1
orientation 1
over 1
paranoid 1
part 1
participation 1
personnel 1
phoenix 1
possession 1
public 1
reclusive 1
reconstruction 1
recreates 1
refusing 1
religion 1
requirements 1
revealed 2
richard 1
river 1
rize 1
route 1
running 1
russian 1
same 1
santera 1
schemes 1
series 1
shadowy 1
she 2
shipping 2
sleep 1
smugglers 1
square 1
states 1
story 1
strand 1
strands 1
such 1
supply 1
support 1
systema 1
systems 1
talk 1
team 2
technical 1
technologies 1
technology 1
that 5
the 27
their 1
them 2
three 1
through 1
tito 8
to 17
tow 1
track 1
tracking 1
tradecraft 2
training 1
translate 1
transported 1
troubleshooting 1
unclear 1
uncles 1
undermine 1
united 1
unknown 1
unspecified 1
us 3
use 1
used 1
vancouver 1
variant 1
via 1
virtually 1
volapukencoded 1
war 1
when 1
which 1
who 3
whom 1
wired 1
with 2
world 1
would 1
write 1
york 1
