11538709
/m/02rh78_
/m/02rh78_
Charles Portis
1968
100 1
103 1
150 1
250 1
a 11
accompany 1
adept 1
adventures 1
after 1
age 1
aging 1
agree 1
alive 1
allowed 1
along 2
although 1
always 1
an 3
and 18
another 1
appeals 1
appears 1
appreciation 1
arkansas 1
arriving 1
as 4
at 4
attempt 1
avenge 1
back 1
bargain 1
barroom 1
be 1
been 1
begins 2
behind 1
benefit 1
best 1
body 1
both 1
bringing 1
but 4
buy 1
by 5
can 1
carried 1
cash 1
central 1
chaney 8
churchgoing 1
cogburn 7
confront 1
confrontation 1
convinced 1
county 1
dardanelle 1
day 2
dead 1
deal 1
death 1
deputy 1
develop 1
different 1
dislike 1
distinguished 1
district 1
dog 1
down 1
drifter 1
due 1
during 1
each 2
earlier 1
employed 1
end 1
ends 1
eventually 1
expected 1
family 1
farm 1
farmhand 1
father 1
fathers 1
flees 1
following 1
for 10
forces 1
fort 2
four 1
fourteen 1
frank 2
from 2
gang 2
go 1
gold 2
grit 1
had 2
haggling 1
hands 1
harddrinking 1
has 4
he 7
hearing 1
her 6
hid 1
him 8
hired 1
his 3
hopes 1
horse 1
horses 3
hunt 1
in 8
independence 1
indian 1
infamous 1
insisting 1
intelligence 1
intervene 1
into 2
involving 1
is 10
j 2
job 2
join 2
joined 2
jumped 1
killer 1
killing 1
kills 1
kindhearted 1
knowledge 1
labeef 1
laboeuf 6
leave 1
led 1
looks 1
lose 1
lucky 1
man 2
many 1
marshal 3
mattie 10
men 1
mind 1
money 1
months 1
more 1
motivations 1
named 3
narrated 1
near 1
ned 2
need 1
not 1
noting 1
novel 1
of 9
oklahoma 1
older 1
on 6
once 1
one 2
oneeyed 1
only 3
or 1
orders 1
other 2
out 2
outlaw 1
overweight 1
part 1
pay 1
pepper 2
persists 1
persuades 1
pieces 2
pity 1
playing 1
point 1
portis 1
posse 1
preparation 1
present 1
pronounced 1
proves 1
quest 2
ranger 2
reach 1
realizing 1
recounts 1
referring 1
remaining 1
repeatedly 1
reputation 1
respective 1
reuben 2
reward 1
ride 1
robs 1
rooster 2
ross 5
scorn 1
seeing 1
senator 1
she 8
smith 2
some 2
spank 1
speaking 1
spending 1
spinster 1
stop 1
story 1
strength 1
suited 1
take 2
takes 1
tale 1
talents 1
tenacious 1
territory 1
texas 4
than 1
that 7
the 23
their 2
them 1
themselves 1
they 6
this 1
three 1
thrifty 1
through 1
to 21
together 1
tom 1
too 1
toughest 1
town 1
track 1
tracking 1
transaction 1
trash 1
tries 1
triggerhappy 1
try 1
turns 1
two 3
undertook 1
up 1
upon 1
us 1
very 1
view 1
violence 1
way 1
west 1
when 2
who 1
wilderness 1
wishes 1
with 5
years 1
yell 1
