19522268
/m/04n1z6p
/m/04n1z6p
Tess Gerritsen

a 4
about 1
after 1
agent 1
and 5
as 2
back 1
bosnia 1
boston 1
but 1
by 2
called 1
claiming 1
committed 1
copy 1
countryside 1
crimes 1
cutting 1
dc 1
dean 3
determined 1
dominator 4
escapes 1
eventually 1
examiner 1
fbi 1
fights 1
from 1
gabriel 1
her 2
him 2
his 1
hoyt 3
imprisoned 1
in 1
into 1
investigates 1
involving 1
is 1
isles 1
kidnaps 1
kill 1
kills 1
list 1
longoverdue 1
making 1
many 1
maura 1
medical 1
murder 1
murders 1
necrophilia 1
of 3
plots 1
prison 1
quadriplegic 1
reading 1
returns 1
rizzoli 6
severely 1
she 2
shows 1
sicktime 1
similar 2
suspect 1
takes 2
techniques 2
terms 1
the 6
then 1
those 1
to 5
trap 1
trying 1
vacation 1
warren 1
washington 1
when 1
where 1
which 1
while 1
with 2
wounds 1
