6370864
/m/0g2wx8
/m/0g2wx8
Geoff Ryman
1992-05-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
actor 1
actress 1
aids 1
an 2
and 2
appearance 1
as 1
based 1
baum 2
book 1
character 1
characters 1
circle 1
dorothy 1
encounter 1
film 2
focus 1
frank 1
garland 1
gay 1
girl 1
goes 1
in 2
include 1
into 1
is 2
its 1
jonathan 1
judy 1
kansas 2
kitchen 2
l 1
lead 1
makes 1
makeup 1
male 1
manhattan 1
millie 1
narrates 1
novel 2
of 3
on 4
original 1
oz 1
parts 1
pilgrimage 1
primary 1
put 1
real 1
separated 1
set 1
sorts 1
substitute 1
summer 1
teacher 1
the 8
three 1
to 1
version 2
who 2
whom 1
winter 1
with 2
