8494432
/m/0275gxf
/m/0275gxf
Dean Koontz
2009
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense"}
a 1
alltoohuman 1
and 1
are 1
battling 1
carson 1
dedicated 1
detectives 1
deucalion 2
end 1
engineered 1
evil 1
figure 1
gave 1
has 1
helios 2
heroic 1
him 1
his 1
is 1
killers 2
legendary 1
life 1
maddison 1
megalomaniacal 1
michael 1
modernday 1
monster 1
new 1
oconnor 1
of 2
on 1
orleans 1
partners 1
reign 1
terror 1
that 1
the 4
to 2
trying 1
unleashed 1
victor 1
