12014223
/m/02vlz9z
/m/02vlz9z
Chris D'Lacey
2006-09-07
a 20
about 1
after 9
all 2
ancestor 2
ancient 3
and 19
arctic 4
are 2
around 1
arrives 1
arthur 6
as 5
asleep 1
assuring 1
at 6
athome 1
attack 2
attempts 1
awakens 1
baby 1
back 2
battles 1
be 1
bear 4
bears 5
because 1
been 1
began 1
believe 2
bergstrom 1
body 3
bones 1
breaks 1
breakup 1
brother 1
but 2
by 6
cage 1
call 1
called 1
calls 1
calms 1
can 1
cave 2
changes 1
chest 1
chooses 1
comes 1
conversation 2
could 1
cruel 1
curious 1
david 18
day 2
dead 1
death 1
decides 3
den 1
did 1
die 1
discovers 1
disgusting 1
down 4
dr 1
dragon 5
dragons 1
dragonsong 1
earth 1
eat 1
eating 1
enjoys 1
eventually 1
everyday 1
everyone 1
example 1
existence 1
explanations 1
explore 1
extreme 1
fact 1
fain 7
falls 1
farlowe 1
female 2
few 1
fiction 1
find 2
finds 1
fire 2
flew 1
flies 1
follow 2
follows 1
forgotten 1
friend 1
from 4
gadzooks 1
gave 1
gawain 4
get 1
gets 1
gift 1
girlfriend 1
giving 1
glant 1
goes 3
good 1
gretel 2
grockle 5
guarded 2
guinevere 2
gwendolen 2
gwilanna 6
had 2
happen 1
happening 2
happiness 1
has 2
having 1
he 12
head 1
hearing 1
heartbreaking 2
help 1
her 10
hideaway 2
him 3
his 4
hole 1
home 4
horror 1
hours 1
how 1
ice 5
if 1
in 10
ingavar 4
ingavars 1
into 4
introductions 1
inuit 1
is 11
island 4
it 3
just 2
kidnapped 2
kidnapping 1
killing 1
knew 1
last 1
lays 1
learned 1
leave 1
leaves 1
life 1
like 1
liz 7
locked 2
long 1
look 1
lost 1
lot 1
lucy 8
meet 1
method 1
middle 1
more 1
move 1
must 2
mysterious 1
name 2
new 2
news 1
nobody 1
not 1
notices 1
novel 1
nowhere 1
of 16
on 5
once 1
one 1
only 1
opened 1
orders 1
out 3
over 2
overcome 1
parts 1
peacefully 1
pennykettles 1
phone 1
piece 1
place 3
polar 2
possessed 1
pound 1
precious 1
pregnant 1
pressure 1
punches 1
pushed 1
raise 1
really 3
receives 1
releasing 1
religious 1
resting 1
returns 2
revealing 1
revive 1
rising 1
rival 2
rough 1
running 1
same 1
scared 1
season 1
secret 2
see 1
send 1
serious 1
she 11
shock 1
sight 1
sign 1
since 1
slept 1
snigger 1
some 1
something 1
soothes 1
soothing 1
spears 1
spirit 2
stabs 1
steal 1
stone 1
stoneladen 1
straight 1
stuff 1
sudden 2
suddenly 2
survives 1
take 1
talisman 1
teaches 1
tear 1
tears 1
teleport 1
teleports 1
tell 1
tells 2
tension 1
that 3
the 46
them 1
there 1
they 2
theyd 1
things 1
thinks 3
this 4
thoran 2
through 3
time 3
tiredly 1
to 24
tootega 2
travels 1
turned 1
two 2
unaware 1
under 1
up 2
use 1
used 2
valentine 1
ventures 1
very 2
vicious 2
vincent 1
was 2
water 1
welled 1
what 2
when 2
which 2
while 2
white 1
who 1
whose 1
wild 1
window 2
wishes 1
with 3
wont 1
wooden 1
workshop 1
would 1
writes 1
writing 1
yet 1
you 2
zanna 6
