23472028
/m/06w4f81
/m/06w4f81
Richard Scrimger

{"/m/01z4y": "Comedy"}
7l 1
a 12
accident 2
accidentally 1
after 3
aftermath 1
alan 19
alien 1
also 1
although 1
amnesia 1
an 3
and 13
apologizes 1
are 2
arrival 1
as 4
at 3
attention 1
back 3
being 2
between 1
blows 1
book 1
both 1
bothered 1
boys 1
bullies 3
bullying 1
by 3
calms 1
cannot 1
causes 1
change 2
channel 1
class 2
clearly 1
collie 1
coma 1
commodores 1
constellation 1
continue 1
cougars 5
country 1
courage 1
creek 1
crush 1
day 3
despite 1
develop 1
dingwall 1
discovers 1
distracted 1
does 2
dog 1
doing 1
down 1
draws 1
drowned 1
drowning 1
during 1
ends 1
entire 1
even 2
exactly 1
exception 1
fact 2
feeling 1
fight 1
finally 1
flies 2
flips 1
foggy 1
followed 1
following 1
for 2
freak 1
friendship 1
from 3
game 2
gary 2
get 1
gets 1
had 1
handkerchief 1
happened 2
hates 1
have 1
he 12
heart 1
her 1
hero 1
him 3
his 3
hospital 1
how 2
however 1
humiliated 1
in 7
insect 1
intimidate 1
into 4
is 13
it 1
kd 2
laments 1
lang 2
lawn 2
light 1
like 1
likely 1
livens 1
living 1
loudly 1
mary 2
memories 1
memory 1
microphone 1
middle 1
miranda 2
mocked 1
most 1
mowing 2
music 1
name 1
next 1
norbert 6
nose 3
not 2
of 10
on 1
one 1
other 1
out 3
over 1
people 1
performing 1
point 1
present 1
presentation 1
progresses 1
promises 1
prudence 4
reader 1
recall 1
remember 1
rescuing 1
rest 1
returns 1
runs 1
scaring 1
school 1
science 1
screeches 1
seem 1
she 4
showing 1
soccer 2
some 1
something 1
song 1
spaceship 1
special 1
stand 1
stop 1
story 1
suffering 1
surprisingly 1
suspects 1
switches 1
take 1
taken 2
talks 1
tells 1
that 9
the 35
them 1
then 2
things 1
thirteenyearold 1
this 1
though 2
time 2
to 12
toronto 1
treated 2
tries 2
tripped 1
try 1
tv 1
two 1
unclear 1
unwanted 1
up 4
visited 1
wakes 1
washroom 1
water 1
way 1
we 2
what 2
when 3
which 1
whose 1
will 1
with 1
