4977689
/m/0cy32p
/m/0cy32p
Paul Scott
1968-09
a 21
about 2
accident 1
act 3
advisor 1
afraid 1
after 4
again 1
against 2
ahmed 1
ali 1
alleged 1
also 2
ambush 1
among 1
amputated 1
an 10
anchor 1
and 26
appears 1
are 6
arm 1
army 4
arthur 1
as 7
asks 1
at 8
attend 1
aunt 2
away 1
baby 2
back 1
barbie 3
batchelor 1
be 7
because 1
become 1
becomes 1
been 2
begging 1
begins 1
being 2
believes 1
beseeching 1
best 3
between 1
bingham 2
both 1
bride 1
bring 1
british 1
bronowsky 1
buried 2
but 1
by 6
calcutta 3
captain 1
car 1
case 1
ceremony 1
challenging 1
character 1
charge 1
charges 1
chief 1
child 3
civil 1
clark 3
class 1
climate 1
colorless 1
comes 4
coming 1
conceived 1
concerned 1
consisting 1
convalescing 1
conventional 1
count 1
crimes 1
custody 1
daphne 3
death 2
debriefing 1
defense 2
define 1
denied 1
depends 1
designated 1
died 1
dinner 1
discovers 1
disfigured 1
disfigurement 1
do 1
does 1
driven 1
during 1
eager 1
efforts 1
elder 1
elderly 1
emigre 1
employ 1
encounters 1
enmity 1
enthusiastic 1
entrance 1
evening 1
explains 1
faces 1
falls 2
family 4
fancy 1
fate 1
fatherless 1
fenny 1
finetuned 1
fire 1
for 7
fore 1
former 1
forward 1
fragile 1
friend 1
from 3
front 1
future 1
get 1
gets 1
go 1
goes 1
gratitude 1
grave 1
guest 1
gupta 1
had 1
hands 1
hari 7
has 4
having 1
he 6
heightened 1
held 2
her 10
hill 1
him 3
himself 2
his 9
home 1
horribly 1
horrified 2
hospital 1
however 1
husband 2
identity 1
ill 1
imaginary 1
imitation 1
implied 1
imprisonment 1
in 18
ina 3
incarcerated 1
india 4
indian 5
induce 1
inflammatory 1
informed 1
injured 1
innocent 1
insinuate 1
interprets 1
into 1
introducing 1
is 23
it 4
its 1
jailed 1
james 1
japanese 1
jiffs 1
jimmy 1
joined 1
junior 1
kasim 2
know 1
known 1
kumar 3
lady 2
last 1
late 1
later 1
layton 5
laytons 2
learn 2
learns 2
left 1
life 1
lost 1
lower 1
mabel 4
mainstay 1
makes 2
man 4
manipur 1
manners 3
marries 1
matched 1
mean 1
meet 1
member 1
merrick 14
met 1
methods 1
middle 1
might 1
mildred 1
minute 1
mirat 2
mohammed 1
molested 1
morally 1
much 1
national 1
native 2
nawab 3
nephew 1
never 2
newly 1
newlywed 1
newlyweds 1
news 1
next 1
niece 1
nigel 2
night 1
not 1
nothingness 1
novel 1
now 2
nurse 1
observe 1
of 28
off 1
officer 3
officers 1
official 1
old 1
older 1
on 6
one 1
or 1
others 1
out 1
over 1
own 2
panel 1
pankot 3
paraffin 1
particular 1
partly 1
party 1
patched 1
paying 1
period 1
places 1
point 1
police 1
political 2
politician 1
pregnant 1
prestigious 1
prison 1
prominent 1
property 1
questioners 1
quietly 1
railway 1
raj 1
ranpur 2
rape 1
realize 2
received 1
reception 1
regiment 2
released 2
rescued 1
responsible 2
reveal 1
revealed 1
riding 1
rifles 1
ring 1
role 1
ronald 1
roommates 1
rowan 3
ruled 1
russian 1
sarah 8
save 1
sayed 1
scene 2
scorpions 1
searing 1
secret 1
security 1
seduces 1
seen 1
selfmade 1
sen 1
sense 1
sent 1
serve 1
service 1
serving 1
session 1
several 1
shalini 1
she 11
show 1
side 1
sister 2
sleep 1
socialite 1
soldiers 1
some 1
someone 1
son 2
state 1
statements 1
station 2
staying 1
stone 1
subtly 1
surrender 1
surrogates 1
susan 5
suspect 1
takes 2
taste 1
teddie 14
tells 1
that 9
the 54
their 1
then 1
there 2
they 3
this 1
throws 1
to 32
too 1
tortured 2
town 1
treason 1
treatment 2
trying 1
turncoat 1
turncoats 1
unable 1
uncle 1
under 2
unharmed 1
unhinged 2
unsuccessful 2
until 1
up 2
vague 1
victim 2
visits 1
warnings 1
was 1
way 2
wazir 1
we 1
wealthy 1
wedding 4
what 1
when 5
where 2
whereabouts 1
which 3
while 2
white 1
who 5
whom 1
why 1
will 3
wishes 1
with 6
without 1
witnessed 1
witnesses 1
women 1
year 1
young 1
younger 2
