10075187
/m/02q0zr6
/m/02q0zr6
Eloise McGraw
1961
12yearold 1
a 9
about 4
add 1
after 5
again 2
against 1
also 2
an 4
ancient 7
and 19
another 1
answers 1
apprentice 2
are 1
area 1
as 2
asking 1
asks 2
assistant 1
at 5
audience 2
awful 1
be 3
beat 1
beats 1
become 1
been 1
believe 1
bottom 1
boulder 2
break 1
breaks 1
brother 1
burial 1
but 4
by 4
can 1
carries 1
catch 1
caught 2
chamber 1
come 1
companion 1
continue 1
could 1
crazy 1
crumbles 1
cutting 1
day 2
decides 1
delayed 1
determines 1
discovers 2
do 1
doesnt 1
donkey 2
during 2
earn 1
earned 1
ears 1
eavesdropping 1
else 1
end 1
entrance 1
evidence 1
evil 2
extinguishing 1
father 1
feast 1
figure 1
finally 2
findings 1
finds 1
followed 1
follows 1
food 1
for 3
forces 1
friends 2
from 5
gebu 12
get 3
gets 2
getting 2
giant 1
go 1
goblet 2
going 1
gold 4
golden 2
goldsmith 2
gone 2
goods 1
half 1
has 3
have 2
he 9
heard 1
help 1
helpers 1
heqet 6
her 1
him 6
himself 1
his 12
home 1
how 2
i 1
ibni 2
immediately 1
in 3
into 3
is 9
it 2
job 1
keeps 1
kings 1
knows 1
leaning 1
learned 1
like 1
living 1
looking 1
lots 1
makes 1
manages 1
markings 1
master 1
may 2
meanwhile 1
meet 1
midday 1
most 1
moves 1
much 1
myself 1
name 2
near 1
new 2
next 1
night 1
no 1
north 1
not 2
oaken 1
object 1
of 9
on 6
one 3
orphaned 1
out 3
palace 1
persistence 1
pharaoh 2
pieces 1
porter 1
praise 1
puts 1
putting 1
puzzle 1
qanefer 1
queen 5
queens 1
ranofer 20
realizes 2
replies 1
returns 1
rich 1
riding 2
ringing 1
river 1
robbers 2
robbing 2
room 1
runs 1
said 1
say 1
seal 1
see 1
sell 1
sent 1
session 1
share 1
she 1
shop 2
shows 1
sit 1
slavery 1
smuggling 1
so 1
soldiers 1
someone 1
spy 1
staff 1
stealing 1
steps 1
stone 1
stonecutters 1
stop 1
story 1
suggests 1
supports 1
suspicious 1
sweepings 1
take 1
talk 1
tallies 1
telling 1
test 1
that 8
the 43
then 1
theory 1
they 4
thicket 1
things 1
thinking 1
thinks 1
this 1
threatening 1
through 1
to 16
together 2
tomb 7
top 1
torch 1
town 1
trapping 1
tries 3
turn 1
two 1
unknowingly 1
up 1
upcoming 1
valley 1
wall 1
wants 1
was 1
wenamon 1
what 3
when 3
where 1
which 3
while 2
who 4
why 2
will 2
wineskins 1
with 7
work 1
working 1
world 1
worse 1
your 1
zau 1
