4193788
/m/0bp7r5
/m/0bp7r5
Terry Pratchett
2007
4000 1
50 1
a 11
actually 1
adds 1
adora 1
advancing 1
age 1
all 1
already 1
also 1
alternatives 1
ambitious 1
an 2
ancient 1
and 14
ankhmorpork 2
anonymous 1
any 1
anyone 1
anything 1
are 2
army 1
as 4
assassins 1
at 4
attempts 1
backed 1
bank 4
banks 1
be 2
being 1
belle 1
bent 1
better 1
bored 1
bringing 1
bury 1
but 2
by 3
cashier 1
chairman 1
chairwoman 1
challenges 1
changes 1
character 1
chief 2
cities 2
city 4
civilization 1
clacks 2
coaches 1
coins 1
collector 1
commands 1
considers 1
contains 1
content 1
contract 1
controlling 2
cosmo 1
could 1
currency 3
current 2
dearheart 1
decides 1
dies 1
discovers 1
dispose 1
do 2
does 1
dog 3
due 1
end 1
error 1
eventually 1
everyone 1
except 1
extremely 1
family 1
few 1
fiance 1
find 1
finds 1
for 4
foundation 1
four 2
from 2
fulfill 1
further 1
fusspot 1
general 1
giving 1
go 1
goes 1
gold 2
golden 2
golem 2
golembased 1
golems 7
guild 1
happens 1
happy 1
he 2
her 2
him 5
his 6
horses 1
however 2
identity 1
if 1
in 4
include 1
introduces 1
is 7
itself 2
job 1
last 1
lavish 3
leaders 1
leaves 2
lifestyle 1
lipwig 2
little 1
lord 1
loss 1
made 1
mail 1
majority 1
making 3
manages 1
meantime 1
message 1
might 2
mint 1
moist 7
money 2
more 1
mr 2
much 3
name 1
neither 1
new 3
no 1
nor 1
not 3
novel 1
now 1
of 14
office 1
on 3
one 2
or 1
order 1
other 2
out 3
outside 1
over 2
owns 1
past 1
patrician 1
people 2
persuade 1
post 1
postmaster 1
power 1
present 1
pressure 1
production 1
rather 1
reappearance 1
refuses 1
replace 1
retirement 1
risk 1
robe 1
royal 2
rumoured 1
running 1
runs 1
scenario 1
secret 2
share 1
shares 1
she 4
shiny 1
slowly 1
smoothly 1
so 2
something 1
stamps 1
step 1
succeeds 1
success 1
suggests 1
suit 1
sure 1
surprise 1
take 2
takes 1
taking 1
tax 1
than 2
that 8
the 40
them 3
themselves 1
then 1
these 1
thousand 1
threatening 1
thus 2
to 22
too 1
topsy 1
towers 1
translation 1
tries 2
trust 2
try 1
turn 1
um 1
uncover 1
unfortunate 1
unfortunately 1
unnatural 1
unsuitable 1
upon 1
use 2
vacancy 1
valuable 1
vampire 1
various 1
vetinari 2
von 2
war 1
warfare 1
wear 1
wearing 1
when 1
which 1
while 1
who 3
will 1
with 7
without 1
working 1
worse 1
would 1
