12000397
/m/02vlhkt
/m/02vlhkt
John Fletcher
1619
1643 1
25 1
a 8
abroad 2
accompanies 1
achieve 1
actually 1
against 2
alliance 1
also 1
an 1
and 13
arane 3
arbaces 12
armenia 1
as 2
assassination 1
attracted 1
attraction 1
authors 1
avert 1
battle 1
be 1
beautiful 1
beauty 1
because 1
become 1
becomes 1
been 1
behave 1
bessus 3
birth 1
blames 1
blood 1
boastful 1
both 1
brave 1
breaks 1
bringing 1
but 3
by 5
cannot 1
character 2
charles 1
childhood 1
childless 1
comic 2
comical 1
commit 1
commonality 1
complex 1
cowardly 1
creation 1
cronies 1
customs 1
decides 1
defeated 1
degree 1
depicts 1
desperate 2
dilemma 1
does 1
down 1
duelling 1
during 1
even 1
exercises 1
exile 1
explained 1
fact 1
faith 1
faithful 1
falls 1
february 1
fiancee 1
fighting 1
finds 1
foiled 1
for 4
former 1
formidable 1
from 1
give 1
gobrius 6
had 2
has 5
hasnt 1
hates 1
he 10
heir 1
henrietta 1
her 5
him 4
himself 1
his 14
hoax 1
home 1
honorable 1
hoping 1
husband 1
i 1
iberia 1
in 7
incestuous 1
increasingly 1
intended 1
intends 1
into 1
is 9
isnt 1
it 1
king 9
kingship 1
latter 1
learns 1
legitimate 1
letter 1
letters 1
love 2
many 2
maria 1
marriage 2
marry 2
mdash 1
means 1
meanwhile 2
might 1
minister 1
mixed 1
mother 1
much 1
murder 1
no 1
nobility 1
not 1
now 1
of 8
old 1
on 2
one 1
panthea 8
passion 1
plans 1
play 2
plot 1
plots 1
plotted 2
powerful 1
praising 1
predecessor 1
predicament 1
presented 1
princess 2
promises 1
protector 1
provided 1
queen 1
rape 1
rationality 1
rededicates 1
refers 1
regarded 1
regent 1
relief 1
remain 1
resolved 1
restains 1
restore 1
return 1
returns 1
revealed 1
rightful 1
same 2
seen 1
selfdiscipline 1
sexual 1
since 1
sister 3
situation 1
so 2
somewhat 1
son 3
spaconia 3
staged 1
steps 1
story 1
strong 1
struggle 1
struggles 1
subplot 1
succession 1
suicide 1
supposed 1
that 6
the 30
their 2
them 1
then 1
theodoret 1
thierry 1
this 1
though 1
tigranes 6
to 13
too 1
tragic 1
tragicomic 1
trick 1
triumph 1
turns 1
version 1
violation 1
virtue 1
vulgar 1
wars 1
was 2
wellknown 1
were 1
when 1
who 2
whom 1
will 1
with 6
would 1
written 1
years 2
