28009597
/m/0ch5q99
/m/0ch5q99
Robert Silverberg
1972
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy"}
100 1
21 1
a 17
abilities 1
about 2
above 1
access 1
address 1
addresses 1
affair 1
affection 1
afraid 1
after 3
again 1
against 1
agree 2
agreed 1
agrees 4
allow 1
allowed 1
allows 3
alone 1
also 2
altercation 1
an 1
and 28
anew 1
angry 1
antigone 1
apartment 2
apologizes 1
appears 1
are 1
argue 1
art 2
artist 1
artistic 2
as 3
at 7
attempted 1
attempts 2
attention 1
away 2
awe 1
bargain 1
bargaining 1
be 1
because 1
become 1
becomes 2
bed 1
been 1
before 2
begin 2
being 1
best 1
better 1
binding 1
body 7
both 1
brutality 1
building 1
but 4
by 7
can 4
capitalizes 1
catatonic 1
caught 1
cause 1
celebrated 1
center 4
chip 1
city 1
comes 2
committed 1
committing 1
community 1
condition 2
confidence 1
construct 1
contact 1
continues 1
contract 1
control 8
convicted 1
convince 1
convinced 1
counters 1
court 1
cry 1
culminating 1
cure 1
day 1
days 1
dealer 1
death 1
decides 1
declares 1
deconstruction 1
degree 1
demanding 1
deserve 1
deserving 1
desire 2
destitute 1
destroy 1
destroyed 1
details 1
dinner 1
discovers 1
discuss 1
do 1
doctors 1
does 2
down 1
dr 2
dredging 1
drive 1
easy 1
eat 1
eeg 1
effect 1
effective 1
encounter 1
encounters 1
eradicate 1
erasure 1
esp 4
exist 1
exwife 1
fears 1
feels 1
few 1
fictitious 1
fight 1
fighting 1
finally 1
find 4
finds 2
first 3
for 5
force 1
found 3
freshly 1
from 4
gains 1
gargan 1
get 1
gets 1
getting 1
goes 1
gomez 7
gone 1
growing 1
guilty 1
hallucinating 1
hamlin 16
harassing 1
has 7
have 3
having 2
he 13
head 2
heart 1
help 3
her 8
hiding 2
him 8
himself 1
his 22
holovision 1
home 5
hopefully 1
hostel 1
however 2
idea 1
identity 1
if 2
ignore 1
ignoring 1
immediately 1
in 8
inhabits 2
inside 1
instead 1
into 3
is 18
judgment 1
just 2
killed 1
know 1
later 1
lays 1
leaves 1
led 1
legally 1
life 1
lifelike 1
lightning 1
limited 1
lisa 19
live 1
logic 1
looking 1
lost 1
love 1
lovers 1
lucid 1
macy 1
made 2
mansion 1
meal 1
meanwhile 1
memories 5
mental 1
mentally 1
merges 1
messages 1
mind 2
missing 1
mistake 1
more 3
mr 1
mugged 1
museum 1
must 1
naked 1
name 1
nat 23
new 3
newfound 1
newscaster 1
next 1
no 1
nostalgic 1
not 5
now 4
numerous 1
of 17
offers 1
old 6
on 2
once 1
one 1
only 4
over 2
own 1
owners 1
pain 2
past 3
paul 38
people 2
permanently 1
personalities 1
personality 2
physical 1
pity 1
possible 1
potentially 1
predatory 1
problem 2
problems 1
proof 1
psychologically 1
psychosculpture 1
punishment 1
quickly 1
quietly 1
rape 1
rapes 2
rapist 1
read 1
real 1
realizes 2
really 1
redeems 1
regain 1
rehab 6
rekindle 1
relation 1
relationship 1
released 1
reminiscences 1
responsible 1
restaurant 2
return 2
returns 2
rid 1
ridiculing 1
right 1
scans 1
scarred 1
sculpture 1
sculptures 1
searching 1
see 3
seeing 1
sends 1
serial 1
series 1
sexual 1
share 1
shared 1
she 5
shows 1
since 2
slowly 1
society 1
sold 1
solution 1
some 1
somewhat 1
spar 1
specifically 1
stay 1
still 1
stopping 1
strange 1
stream 1
streets 1
strike 2
studio 1
surface 1
taken 1
talent 2
that 13
the 31
their 2
therapy 1
there 2
they 5
this 1
though 2
threat 2
time 2
to 40
tries 1
trying 1
turn 1
turns 1
two 4
under 2
until 1
up 4
upon 1
urges 1
urging 1
uses 2
using 2
vanquished 1
visions 1
visit 3
visits 1
voice 1
wakes 1
walking 1
wants 1
warns 1
was 3
watched 1
way 1
well 1
when 4
where 1
which 2
while 6
who 3
whose 1
will 1
with 10
within 3
woman 2
work 4
worsens 2
xwife 1
york 2
