14491274
/m/03d54h0
/m/03d54h0
Patrick Carman
2007-09
a 2
abaddon 1
adventure 1
alexa 1
and 5
as 3
battle 1
be 1
before 3
between 1
born 1
brothers 1
chronicles 1
daley 1
danger 1
elyon 2
escape 1
exploration 1
fellowship 1
forced 1
found 1
futures 1
horrible 1
in 1
into 1
is 1
looked 1
magic 1
mysterious 1
need 1
of 3
one 1
orphanage 1
pasts 1
raised 1
revealed 1
roland 2
secretsall 1
story 1
strange 1
the 3
their 2
there 1
they 2
thomas 2
to 2
turnedand 1
two 1
unfold 1
unknown 1
up 1
walls 1
warvold 1
was 1
went 1
were 2
wherever 2
which 1
whose 1
world 1
young 1
