1250458
/m/04m4jv
/m/04m4jv
John Pearson
1973
{"/m/06wkf": "Spy fiction"}
007 4
166 1
a 3
about 1
adaptation 1
adventures 2
agent 3
along 1
already 1
also 1
and 6
another 1
as 2
assigned 1
assume 1
assumed 1
at 1
authorized 3
autobiographically 1
based 3
basis 1
be 1
becoming 1
begins 1
biography 5
bond 10
but 1
claim 1
colonel 1
comic 1
conclusion 1
considered 1
contention 1
contrary 1
covers 1
created 1
department 1
despite 1
dr 2
duties 1
every 1
exploits 1
fact 2
fictional 1
fifties 1
first 1
fleming 9
flippant 1
from 1
glidrose 1
good 1
guessing 1
had 1
happened 1
having 1
he 1
healthy 1
heroine 1
hide 1
him 1
hinted 1
his 5
holmes 1
honeychile 1
ian 3
idea 1
illustrating 1
in 5
including 1
incorporates 1
instruct 1
introduced 1
invited 1
is 6
james 6
john 2
keep 1
life 2
like 1
live 1
loved 1
mandatory 1
manuscript 1
markham 1
me 1
mi6 3
mi6nbspmissions 1
michel 1
mission 1
moonraker 1
most 2
mysteriously 1
new 1
no 1
not 2
notably 1
nothing 1
novel 3
novels 3
obituary 1
of 12
only 1
own 1
pearson 5
plain 1
premise 1
publications 1
real 2
recruitment 1
referring 1
retired 1
retirement 1
reviews 1
robert 1
rushes 1
ryder 1
sales 1
school 1
scribal 1
sensational 1
sent 1
series 2
seriescontinuation 1
sherlock 1
short 1
sight 1
so 1
soviets 1
spy 1
story 3
strip 1
success 1
such 1
sun 1
suntanned 1
tales 1
telling 1
that 4
the 20
this 1
to 13
truth 1
truthful 1
twice 1
upon 3
used 1
vivienne 1
was 4
watson 1
way 1
were 1
what 2
who 2
with 3
write 2
writer 1
writing 1
written 1
yet 1
you 1
