12952304
/m/02z14vf
/m/02z14vf
Gary Paulsen
1998-09-08
1861 1
1868 1
21 1
a 26
about 2
accompanied 1
action 2
actions 1
admires 2
after 3
again 1
against 1
age 1
all 5
already 1
an 1
and 48
anguish 1
approaching 1
are 5
area 2
argument 1
army 4
around 1
arrives 1
artillery 1
as 10
asked 1
assumes 1
at 8
atmosphere 1
attack 1
author 1
back 1
badly 1
based 1
battle 9
battlefield 1
be 9
become 2
becomes 1
beef 1
been 2
bees 1
before 3
befriended 1
beginning 1
behind 1
believe 1
best 1
blesses 1
blood 2
boy 1
bread 2
brief 1
broken 1
brother 1
build 1
bull 1
but 8
by 3
called 1
camp 5
camping 1
can 2
cane 1
cannot 1
caught 1
cavalry 2
charge 2
charging 1
charley 22
cheering 1
cheese 1
civil 1
claims 2
clerk 1
climax 1
close 1
coffee 3
cold 1
come 1
committing 1
community 1
comrades 1
confederate 3
conflict 1
constant 1
could 2
couldnt 1
county 1
created 1
creek 1
danger 1
daytoday 1
death 2
december 1
decides 1
defeat 1
departs 1
describes 1
did 1
die 2
died 2
different 1
discussing 1
diseases 1
do 2
doing 1
dollars 1
down 1
drags 1
drinking 1
drums 1
during 2
dysentery 1
each 1
easy 1
elected 1
eleven 1
escape 1
even 1
eventually 4
every 1
everybody 1
everyone 1
experience 2
eyes 1
face 1
falling 1
farming 1
farms 2
father 2
feel 1
feels 1
festive 1
fifteenyearold 1
fighting 1
fights 1
finds 2
finished 1
first 3
flag 1
flags 1
food 1
foot 1
for 9
forage 1
force 1
form 1
fortyseven 1
fought 1
fun 1
get 4
gettysburg 2
gives 1
glad 1
go 2
goddard 1
got 2
great 1
growing 1
hacking 1
had 2
happening 1
happens 1
has 2
have 3
he 46
heal 1
hearing 1
heart 1
her 2
here 2
heroes 1
high 1
him 12
himself 2
his 17
hit 1
hits 1
hold 1
horse 2
horseback 1
horses 1
hospital 1
hours 1
house 1
houses 1
however 3
hundred 2
hundreds 1
if 1
imagined 1
imagines 1
in 24
inside 1
into 1
is 20
it 13
its 1
jobs 1
joins 1
jug 1
junction 1
just 1
kicking 1
killed 3
killing 3
killings 1
kills 1
knew 2
knocked 1
knot 1
knowing 1
knows 2
landed 1
large 2
last 1
later 2
learns 1
leave 2
leaving 1
left 2
letters 1
lies 1
likely 1
limped 1
lines 1
little 1
live 1
lives 1
location 1
log 1
logs 1
long 1
lose 1
losing 1
made 2
make 1
makes 1
man 3
manassas 1
many 2
march 1
marriage 1
matter 1
meal 1
meetings 1
meets 1
men 8
mend 1
mental 1
middle 1
minnesota 3
month 2
more 1
most 2
mother 2
mounted 1
much 5
name 1
named 1
near 5
nearby 2
nearly 1
nelson 2
new 1
newspapers 1
next 1
ninety 1
nor 1
not 9
note 1
noted 1
now 1
numbed 1
of 25
officers 1
old 2
on 8
one 5
ones 1
only 6
or 2
order 1
original 1
orren 1
other 3
others 2
out 3
over 4
owner 1
pain 1
part 3
participates 2
passing 1
patched 1
patriotic 1
pay 1
picnic 1
pistol 1
possibility 1
pretty 1
prior 1
properly 1
protection 1
quickly 2
raising 1
ran 1
reaches 1
realize 1
really 1
rebel 2
rebels 1
record 1
red 1
relative 1
resolution 1
result 1
return 1
richmond 1
rid 1
ride 1
rising 1
river 2
roast 1
rocks 1
routine 1
run 1
running 1
rush 1
sad 1
saw 1
says 1
scaring 1
see 1
send 1
serve 1
severely 1
shelter 1
shoot 1
shooting 2
shot 3
should 1
shoulder 1
single 1
sit 1
six 1
skills 1
slave 2
slaves 1
small 1
so 4
soldier 1
soldiers 9
some 5
something 1
soon 1
sounds 1
southern 1
speeches 1
spirits 1
spun 1
standing 1
starved 1
still 2
stomach 2
stop 1
stress 1
studying 1
stunned 1
succumbs 1
such 1
suddenly 1
suffering 1
suicide 1
surgeons 1
survivors 1
swarm 1
takes 2
talking 1
taught 1
temporary 1
than 2
that 13
the 71
their 1
them 5
then 3
there 2
they 8
things 1
think 1
thinking 1
thinks 1
this 2
thousand 2
thrive 1
time 3
tired 1
to 21
told 3
too 1
took 2
town 2
train 2
trains 1
treated 1
tried 1
twentythree 1
two 1
uniform 1
union 3
unit 1
up 2
upon 1
used 1
uses 1
veil 1
victorious 1
violent 2
virginia 1
volunteer 1
volunteers 3
waited 1
walking 1
wanted 1
wants 2
war 4
was 12
washington 1
waving 1
way 1
ways 1
went 1
were 1
what 5
when 3
where 1
who 1
whole 1
whom 1
will 6
winona 1
wins 1
winter 1
with 5
without 1
woman 1
working 1
would 1
wouldnt 1
wound 1
wounds 2
years 1
young 1
