4510088
/m/0c679l
/m/0c679l
Amitav Ghosh
1996-08-23
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction"}
a 3
advance 1
an 4
and 6
another 1
antar 4
are 2
as 1
asked 1
at 1
back 1
be 1
because 1
become 1
begins 1
belief 1
but 1
by 1
calcutta 6
can 1
change 1
chromosomes 1
chromosometransfer 1
clearly 1
clues 1
complicated 1
conclusions 1
could 1
deliberately 1
described 1
did 1
different 1
disappearance 1
disappeared 1
disciples 1
discover 1
discovery 1
documents 1
emerge 1
employee 2
encounter 1
eternal 1
even 1
famous 1
fascination 1
figures 1
follows 1
for 1
from 1
further 1
gradually 1
grant 1
group 2
guide 1
had 1
has 2
he 1
helped 1
his 3
in 8
india 1
indians 1
into 2
is 5
it 2
its 2
l 1
life 2
lifewatch 2
loosely 1
lost 1
made 1
malaria 2
many 2
messages 1
mixed 1
moment 1
movement 2
murugan 5
murugans 1
mysteries 1
mystical 1
natives 1
nature 1
new 2
not 1
novel 3
of 14
old 1
or 1
organization 1
out 1
over 1
overlap 1
parasite 2
person 2
phone 1
plot 1
point 1
practitioners 1
process 1
provided 1
quite 1
recounts 1
research 2
ronald 3
ross 6
science 1
scientificmystical 1
seem 1
separated 2
sir 1
starts 1
stated 1
story 1
systematically 1
take 1
technique 1
that 7
the 21
their 1
these 1
they 1
this 2
though 1
through 1
time 2
timelines 1
to 6
track 1
transfer 1
transferred 1
underground 2
unearthed 1
up 1
using 1
variant 1
visits 1
was 1
well 1
which 1
who 3
with 4
would 3
years 2
york 1
