10721367
/m/02qn7z9
/m/02qn7z9
Christine Feehan

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 1
abyss 1
acceptance 1
ahead 1
and 8
another 1
attempts 1
back 1
because 1
before 1
begin 1
bombardment 1
bond 1
can 1
choice 1
claim 2
closeness 1
come 1
complete 1
control 1
day 1
detecting 1
either 1
emotions 1
ended 1
five 1
for 2
forced 1
francisco 1
friend 2
from 2
front 1
gregori 5
grief 1
has 4
have 1
he 2
heal 1
her 8
him 5
himself 1
his 1
how 1
however 2
human 1
hunting 1
ignore 1
in 2
informs 1
intending 1
is 4
it 2
kill 1
kills 2
knowing 1
learn 1
live 1
long 1
loses 1
love 1
mate 1
mating 1
must 1
nearly 1
new 1
next 1
no 1
now 1
of 7
one 2
only 1
passed 1
period 1
peter 1
powerful 1
presence 1
prevents 1
property 1
pulls 1
refuses 1
ritual 1
san 1
savannah 4
savannahs 1
shes 1
shock 1
society 1
staying 1
step 1
still 1
stop 1
takes 1
targeted 1
that 3
the 9
their 1
them 2
there 1
they 1
to 12
too 1
tour 1
unfortunately 1
vampire 3
vampires 1
waited 1
where 1
while 1
who 1
with 2
year 1
