19903269
/m/04q3rdy
/m/04q3rdy
Christopher Moore
2009-02-10
{"/m/01z4y": "Comedy", "/m/0pym5": "Absurdist fiction"}
100 1
a 3
according 1
adored 1
advised 1
advises 1
affair 1
after 1
against 2
ally 1
also 1
among 1
an 1
and 16
angry 1
are 2
army 1
ask 1
at 1
bastard 1
because 2
becomes 2
been 2
believe 1
bond 1
both 1
britain 3
brother 2
but 2
by 3
castle 3
civil 1
conditions 1
confronts 1
cordelia 12
court 1
daughter 1
daughters 2
deceased 1
deprived 1
dies 1
disinherits 1
divides 1
drive 1
dungeon 1
each 3
earl 1
edgar 1
edmund 7
elder 1
encourages 1
end 1
enraged 1
especially 2
estrange 1
exaggerations 1
fails 1
famous 1
finally 1
fond 1
fool 1
former 1
france 2
from 2
get 1
gets 1
ghost 1
girl 2
gloucester 3
goes 1
goneril 4
has 1
have 1
he 5
her 4
him 4
his 12
how 2
i 1
ie 1
illegitimate 1
in 4
incite 1
into 1
invades 2
is 4
jealousy 1
kills 1
king 3
kingdom 2
knights 1
knives 1
laconic 1
land 1
later 1
lear 12
lears 1
legitimate 1
love 2
lover 1
mad 1
makes 1
marriage 1
marries 2
marrying 1
mistake 1
mother 1
much 1
my 1
nonetheless 1
not 1
notwithstanding 1
now 3
of 22
off 1
old 1
older 1
on 2
one 1
only 1
other 2
out 2
own 1
passed 1
please 1
pocket 9
poison 1
power 1
prevent 2
prince 1
queen 3
realizes 1
regan 4
remaining 1
royal 1
ruled 1
same 1
schemes 1
shortly 1
simply 1
sisters 3
somehow 1
son 1
starts 1
strip 1
successful 1
takes 1
temporarily 1
that 2
the 20
thee 1
their 1
they 2
this 1
three 1
throwing 1
to 11
told 1
train 1
treated 1
tries 1
turns 1
two 1
vendetta 1
veritable 1
war 2
warrior 1
way 1
which 1
while 3
who 2
witches 1
with 8
