2241576
/m/06yl49
/m/06yl49
Agatha Christie

{"/m/0lsxr": "Crime Fiction"}
a 8
able 1
about 1
also 1
and 10
are 1
arrangement 1
balloon 1
balloons 1
be 2
been 2
bit 1
blood 1
break 1
bursts 1
but 1
butler 1
by 5
called 1
careful 1
characteristics 1
children 1
christmas 1
clue 2
come 1
conceal 1
confided 1
confusion 1
connected 1
crashing 1
dead 1
diamonds 2
door 2
down 1
dropped 1
estravados 1
eve 1
everyone 1
explains 1
explores 1
family 1
final 1
finally 1
find 2
floor 2
focused 1
followed 1
found 1
four 1
from 2
furniture 2
get 2
great 1
guests 1
had 1
hand 1
have 2
he 2
hears 1
heavy 1
heirs 1
her 2
hideous 1
him 1
his 4
house 3
how 1
idea 1
identities 1
immediate 1
in 5
inside 1
investigate 1
investigation 1
is 7
it 2
killed 2
knows 1
lee 2
legitimate 1
lets 1
locked 2
made 1
main 1
major 1
man 1
may 1
mentions 1
methodical 1
more 1
murder 1
murderer 1
must 1
nature 1
not 1
notices 1
object 1
of 14
on 2
one 2
only 1
opens 1
out 1
overturned 1
peg 1
pick 1
picked 2
pilar 3
playing 1
poirot 4
poirots 1
pool 1
pressed 1
prior 1
problems 1
provide 1
quantity 1
realizes 2
reminded 1
room 2
rubber 2
safe 1
scream 1
seems 1
several 1
she 5
show 1
significance 1
simeon 2
simeons 1
slip 1
slit 1
small 3
something 1
sons 1
substantial 1
sugden 3
superintendent 2
temperament 1
than 1
that 7
the 30
theft 2
there 1
therefore 1
these 1
they 5
throat 1
through 1
to 9
triangle 1
tries 1
uncut 1
up 3
vengeful 1
victim 4
wailing 1
warns 1
was 2
way 1
what 3
when 6
while 1
who 3
with 2
wood 1
