4883195
/m/0csg9n
/m/0csg9n
Lindsey Davis
1989
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
400000 1
a 11
abuse 1
acting 1
added 1
after 4
again 1
alive 1
alone 1
an 1
and 16
arguments 1
as 9
asks 1
at 1
aventine 1
back 1
be 2
before 1
being 1
bloody 1
boat 1
bribe 1
bring 1
bringing 1
britain 1
but 1
by 3
camillina 1
can 1
carried 1
case 1
centurion 1
chance 2
characters 1
charge 1
claims 1
class 3
climax 1
close 1
conspiracy 3
consummated 1
continue 1
could 2
culprits 3
daughter 1
dejected 1
denial 1
dilapidated 1
domitian 1
down 1
earnings 1
emperor 2
equestrian 4
establishing 1
even 1
eventually 1
falco 10
fall 1
family 1
father 1
final 1
find 1
finding 1
finds 2
first 3
for 6
friendly 1
garden 1
girl 3
grow 1
has 1
hate 1
hates 2
have 1
he 9
heads 1
helena 7
her 5
hill 1
him 3
himself 3
hired 2
his 6
horse 1
how 1
however 1
hushedup 1
in 8
ingots 1
insulted 1
introduces 1
is 11
it 3
justice 2
justina 1
keep 1
lady 1
land 1
learns 1
life 1
lists 1
loathing 1
long 1
lots 1
love 1
loves 1
main 1
manage 1
marry 1
meagre 1
meaning 1
meets 2
middle 1
mine 2
mistake 1
misunderstandings 1
more 1
much 1
murdered 1
must 2
mutual 1
name 1
naturally 1
never 1
next 1
no 1
not 1
novel 1
of 8
offer 1
offered 1
on 2
once 1
one 2
only 2
or 1
order 1
other 1
out 4
own 1
pain 1
person 1
prejudice 1
promises 1
public 1
purchase 1
qualification 1
raise 1
raised 1
rank 1
realising 1
refuses 1
relationships 1
reluctant 2
remains 1
rescued 1
retribution 1
returns 2
roman 1
rome 1
seeing 1
senator 3
series 2
sesterces 1
shame 1
she 2
sight 1
silver 2
slave 1
smitten 1
so 1
something 1
son 1
sorts 1
sosia 1
spending 1
stable 1
status 1
stumbles 1
subsequently 1
takes 1
tenement 1
that 4
the 32
there 3
this 1
throughout 1
time 1
to 16
together 1
told 1
trading 1
uncle 1
uncover 1
upon 1
upper 1
value 1
very 2
vespasian 2
wait 1
waiting 1
way 1
wayward 1
well 1
when 1
which 2
while 1
who 2
whole 2
whom 1
with 1
without 1
working 1
young 2
