21243200
/m/046vw4w
/m/046vw4w
Charlaine Harris
2001
{"/m/0kflf": "Vampire fiction", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/072lff": "Paranormal romance", "/m/039vk": "Gothic fiction"}
a 11
ability 1
adele 2
after 1
almost 1
also 1
an 1
and 9
appears 1
area 1
arrest 1
asks 2
attack 1
attacks 1
back 1
badly 1
bar 1
be 1
because 1
become 1
becomes 1
bed 1
bill 10
blood 1
bodies 1
bon 3
book 1
boss 1
brother 4
bubba 1
but 1
by 3
called 1
can 1
civil 1
commands 1
compton 1
concerned 1
confessed 1
confrontation 1
days 1
decides 1
determine 1
dimwitted 1
direct 1
discovers 2
dog 1
drainers 2
early 1
embezzling 1
ensues 1
eric 6
falls 1
family 1
fang 1
fangtasia 2
favor 1
fights 1
finds 2
first 1
friend 1
from 4
gone 2
grandmother 1
has 3
have 1
he 5
help 1
her 11
hierarchy 1
him 3
his 2
hospital 1
identifies 1
identity 1
improve 1
in 6
injured 1
investigator 1
is 8
jason 2
killings 1
kills 2
kitchen 1
later 2
lenier 1
lets 1
life 1
linked 1
lives 1
long 2
love 1
man 1
many 1
marks 1
meanwhile 1
meeting 1
memphis 1
more 1
morning 1
much 1
murdered 1
murderer 1
murders 1
naked 1
named 1
nearly 1
night 1
northman 1
occur 1
of 3
older 2
on 1
once 1
one 1
over 1
own 1
owned 1
partner 1
people 1
police 2
position 1
power 1
powerful 1
prompting 1
protect 1
realizes 1
rene 2
returns 1
romantically 1
sam 2
saves 2
several 2
shadow 2
shapeshifter 1
she 2
sheriff 1
side 1
sleep 1
some 1
sookie 17
staking 1
steal 1
stray 1
suspect 1
take 1
telepathy 1
telling 1
tells 1
temps 3
than 1
that 6
the 16
to 11
two 1
under 1
up 1
use 1
useful 1
vampire 6
vampires 1
veteran 1
victims 1
wakes 1
wanting 1
war 1
was 1
when 3
which 1
while 2
who 3
with 3
within 2
working 1
